date,revenue,expense,profit
2025-02-21,1967647.0,1299050.57,668596.4299999999
2025-02-22,2096259.61,1368417.49,727842.1200000001
2025-02-23,1750066.13,1272578.45,477487.67999999993
2025-02-24,1812746.75,1314858.34,497888.4099999999
2025-02-25,1868960.61,1284110.38,584850.2300000002
2025-02-26,2015626.45,1161659.9,853966.55
2025-02-27,1958497.09,1230095.21,728401.8800000001
2025-02-28,1660820.28,966834.03,693986.25
2025-03-01,1785092.71,1190780.8,594311.9099999999
2025-03-02,2123796.39,1264115.28,859681.1100000001
2025-03-03,1737052.27,1355118.75,381933.52
2025-03-04,1742507.84,985076.44,757431.4000000001
2025-03-05,1412527.34,965646.23,446881.1100000001
2025-03-06,1890371.69,1129365.32,761006.3699999999
2025-03-07,1807862.3,1358896.65,448965.65000000014
2025-03-08,1696327.22,1413236.33,283090.8899999999
2025-03-09,1763465.77,1026504.19,736961.5800000001
2025-03-10,1689815.0,1064075.03,625739.97
2025-03-11,1816614.29,1108507.92,708106.3700000001
2025-03-12,1538638.22,1163508.85,375129.3699999999
2025-03-13,2175719.6,1335410.65,840308.9500000002
2025-03-14,1854668.68,1119491.1,735177.5799999998
2025-03-15,2211781.18,1374995.45,836785.7300000002
2025-03-16,1570347.06,1092363.96,477983.1000000001
2025-03-17,2104885.74,1203021.39,901864.3500000004
2025-03-18,1774548.86,1225370.5,549178.3600000001
2025-03-19,1598201.87,1150337.51,447864.3600000001
2025-03-20,1730898.75,1071844.06,659054.69
2025-03-21,1902670.01,1255783.05,646886.96
2025-03-22,2085674.5,1126214.88,959459.62
2025-03-23,2028571.37,1291792.89,736778.4800000002
2025-03-24,2196620.02,1422948.22,773671.8
2025-03-25,1921201.8,1521037.57,400164.23
2025-03-26,1963276.53,914818.43,1048458.1
2025-03-27,1534143.77,1153221.48,380922.29
2025-03-28,1685955.68,1565476.24,120479.43999999994
2025-03-29,1993914.66,1290116.12,703798.5399999998
2025-03-30,1506925.69,1109806.18,397119.51
2025-03-31,1910592.59,1236334.56,674258.03
2025-04-01,1851883.35,1389023.4,462859.9500000002
2025-04-02,1937938.19,1361246.92,576691.27
2025-04-03,2100026.56,1017084.4,1082942.16
2025-04-04,1672194.23,1321764.03,350430.19999999995
2025-04-05,2214330.25,1049961.62,1164368.63
2025-04-06,2002672.88,1185302.16,817370.72
2025-04-07,1692280.16,958716.32,733563.84
2025-04-08,1876108.04,1154488.54,721619.5
2025-04-09,1661707.47,1279089.49,382617.98
2025-04-10,1778106.73,920293.84,857812.89
2025-04-11,1673451.78,1233360.98,440090.8000000001
2025-04-12,1549721.27,1526906.34,22814.92999999993
2025-04-13,1539925.38,1152437.3,387488.07999999984
2025-04-14,2168813.22,1129976.25,1038836.9700000002
2025-04-15,1807180.14,1310601.86,496578.2799999998
2025-04-16,1607193.49,907167.35,700026.14
2025-04-17,1981940.72,1064840.37,917100.35
2025-04-18,1626668.58,1210186.07,416482.51
2025-04-19,1658093.16,1179753.15,478340.01
2025-04-20,2224238.62,1227398.94,996839.6800000002
2025-04-21,2293122.71,1352932.29,940190.42
2025-04-22,2146097.34,1168584.34,977512.9999999998
2025-04-23,1444653.35,964898.7,479754.65000000014
2025-04-24,1706956.43,1177105.06,529851.3699999999
2025-04-25,1903269.32,1208218.31,695051.01
2025-04-26,1792650.55,1259504.26,533146.29
2025-04-27,1073216.84,1324548.88,-251332.0399999998
2025-04-28,1402164.11,1108820.61,293343.5
2025-04-29,1656966.65,1365787.11,291179.5399999998
2025-04-30,1786791.56,930015.38,856776.18
2025-05-01,2084511.09,911905.48,1172605.61
2025-05-02,2266630.71,1254103.23,1012527.48
2025-05-03,1146219.51,1134097.44,12122.070000000063
2025-05-04,2083884.04,1251039.78,832844.26
2025-05-05,1571527.86,1313347.24,258180.6200000001
2025-05-06,1887467.85,1027072.69,860395.1600000001
2025-05-07,2080814.72,1137064.48,943750.24
2025-05-08,2323299.29,1358160.92,965138.37
2025-05-09,2328415.79,1331045.6,997370.19
2025-05-10,1246637.41,1428240.72,-181603.31000000008
2025-05-11,2160388.25,1220253.16,940135.09
2025-05-12,1661351.46,1307559.49,353791.97
2025-05-13,1748144.34,1118240.5,629903.8400000001
2025-05-14,1129904.3,1225943.51,-96039.20999999996
2025-05-15,1991495.84,1105142.75,886353.0900000001
2025-05-16,2425577.48,1465533.41,960044.07
2025-05-17,1777625.07,1174705.26,602919.81
2025-05-18,1988253.9,1281118.68,707135.22
2025-05-19,1888492.16,1268293.22,620198.94
2025-05-20,1988186.67,1248815.38,739371.29
2025-05-21,2521522.89,1177682.48,1343840.41
2025-05-22,1884468.3,1299677.95,584790.3500000001
2025-05-23,1732245.57,1329949.71,402295.8600000001
2025-05-24,1533693.84,1057032.42,476661.42000000016
2025-05-25,2087197.18,1254640.83,832556.3499999999
2025-05-26,1716320.67,1161484.02,554836.6499999999
2025-05-27,1958452.72,994096.4,964356.32
2025-05-28,1835818.79,1226260.4,609558.3900000001
2025-05-29,1927246.94,1376762.4,550484.54
2025-05-30,2321375.4,1371440.69,949934.71
2025-05-31,1722135.27,1130799.19,591336.0800000001
2025-06-01,1819852.23,1240955.15,578897.0800000001
2025-06-02,1277404.11,1290813.63,-13409.519999999786
2025-06-03,1755055.88,1396506.31,358549.56999999983
2025-06-04,2348907.16,912673.61,1436233.5500000005
2025-06-05,2021072.53,1315115.53,705957.0
2025-06-06,1806718.06,1255360.92,551357.1400000001
2025-06-07,2120569.03,1449930.22,670638.8099999998
2025-06-08,1658286.02,1215496.16,442789.8600000001
2025-06-09,1855811.22,1446388.67,409422.5500000001
2025-06-10,1893448.05,1145302.58,748145.47
2025-06-11,1501056.35,1246042.49,255013.8600000001
2025-06-12,2244676.5,1169881.31,1074795.19
2025-06-13,1800952.07,1429940.5,371011.57000000007
2025-06-14,1723604.99,1130256.22,593348.77
2025-06-15,1639219.06,1185502.79,453716.27
2025-06-16,2301460.62,1035568.62,1265892.0
2025-06-17,2342727.03,1171363.77,1171363.2599999998
2025-06-18,1972917.79,1433841.33,539076.46
2025-06-19,1966093.37,1291781.9,674311.4700000002
2025-06-20,1973156.79,1330290.45,642866.3400000001
2025-06-21,1733342.14,1400801.14,332541.0
2025-06-22,1606959.84,1074046.76,532913.0800000001
2025-06-23,1814262.62,1262960.59,551302.03
2025-06-24,1787830.32,1342976.96,444853.3600000001
2025-06-25,1469126.64,1422777.3,46349.33999999985
2025-06-26,1714278.69,1236605.06,477673.6299999999
2025-06-27,1724906.23,1199269.18,525637.05
2025-06-28,1893085.69,1313096.42,579989.27
2025-06-29,1673704.89,1574739.8,98965.08999999984
2025-06-30,2279343.69,973399.03,1305944.66
2025-07-01,1471523.95,1139458.84,332065.10999999987
2025-07-02,1787484.34,1240553.87,546930.47
2025-07-03,1929093.13,1291913.54,637179.5899999999
2025-07-04,1599565.91,905238.67,694327.2399999999
2025-07-05,1808232.95,1232858.76,575374.19
2025-07-06,1684551.62,1137234.57,547317.05
2025-07-07,1964053.34,1233048.47,731004.8700000001
2025-07-08,2357336.73,1431594.44,925742.29
2025-07-09,1812483.87,987627.46,824856.4100000001
2025-07-10,1598998.51,1344162.94,254835.5700000001
2025-07-11,1791692.52,900318.49,891374.03
2025-07-12,2007216.39,1135920.95,871295.44
2025-07-13,1820347.47,1067517.56,752829.9099999999
2025-07-14,2184989.62,1067147.74,1117841.88
2025-07-15,1997278.71,1209912.97,787365.74
2025-07-16,1940311.97,1243688.74,696623.23
2025-07-17,2126095.92,1199345.77,926750.15
2025-07-18,1643282.96,1032275.79,611007.1699999999
2025-07-19,1741635.85,1360355.55,381280.3000000001
2025-07-20,1812043.53,966912.5,845131.03
2025-07-21,1973400.95,1149786.84,823614.1099999999
2025-07-22,1766490.65,1032671.28,733819.3699999999
2025-07-23,1917079.51,1070816.53,846262.98
2025-07-24,1798871.62,1339305.57,459566.0500000001
2025-07-25,2100052.11,1270772.31,829279.7999999998
2025-07-26,1960287.71,1244009.87,716277.8399999999
2025-07-27,1904631.73,1223887.84,680743.8899999999
2025-07-28,1619142.17,1169239.61,449902.5599999998
2025-07-29,2029783.65,1044529.33,985254.32
2025-07-30,1533302.9,1361052.39,172250.51
2025-07-31,1758607.28,1146726.98,611880.3
2025-08-01,1694585.93,1460853.75,233732.17999999996
2025-08-02,2051298.84,1540056.32,511242.52
2025-08-03,1740033.61,1133961.09,606072.52
2025-08-04,2011533.03,1270031.53,741501.5
2025-08-05,1586886.52,1423709.25,163177.27000000002
2025-08-06,1977016.03,1275033.13,701982.9000000001
2025-08-07,1893270.44,1201895.19,691375.25
2025-08-08,2224360.67,1216874.64,1007486.03
2025-08-09,1742361.55,1138768.25,603593.3
2025-08-10,1677279.84,1341987.48,335292.3600000001
2025-08-11,1895057.56,1025424.0,869633.56
2025-08-12,1820915.81,1265675.13,555240.6800000002
2025-08-13,2081722.17,1168142.97,913579.2
2025-08-14,1521354.67,1411793.47,109561.19999999995
2025-08-15,2048699.78,973102.94,1075596.84
2025-08-16,2080440.37,1134387.55,946052.82
2025-08-17,1496765.94,1017386.67,479379.2699999999
2025-08-18,1818335.03,1008062.95,810272.0800000001
2025-08-19,1764217.67,1283024.14,481193.53
2025-08-20,1106613.02,1190337.94,-83724.91999999993
2025-08-21,1804449.84,1124836.83,679613.01
2025-08-22,2120530.77,1160419.41,960111.36
2025-08-23,2123205.09,1366255.65,756949.44
2025-08-24,2261257.72,1322896.51,938361.2100000002
2025-08-25,1958703.06,1314874.55,643828.51
2025-08-26,1841231.72,1427949.42,413282.3000000001
2025-08-27,1719331.47,1114789.67,604541.8
2025-08-28,2044538.8,1226459.57,818079.23
2025-08-29,2137615.49,1234641.47,902974.0200000004
2025-08-30,2030677.91,1407138.48,623539.4299999999
2025-08-31,2018219.32,1196590.95,821628.3700000001
2025-09-01,1915113.44,1208007.58,707105.8599999999
2025-09-02,2136159.28,978886.3,1157272.9799999995
2025-09-03,2252146.41,852273.01,1399873.4
2025-09-04,1580870.56,1480795.85,100074.70999999996
2025-09-05,2082174.27,1436468.04,645706.23
2025-09-06,2522329.34,1165146.88,1357182.46
2025-09-07,1977129.81,1122601.13,854528.6800000002
2025-09-08,1609207.37,1273026.29,336181.0800000001
2025-09-09,1507508.0,1572418.2,-64910.19999999995
2025-09-10,2119214.07,1133178.74,986035.3299999998
2025-09-11,1853176.15,1317185.85,535990.2999999998
2025-09-12,1695208.6,1226903.63,468304.9700000002
2025-09-13,2198880.63,1161627.81,1037252.8199999998
2025-09-14,2151077.58,1289298.48,861779.1000000001
2025-09-15,1390193.24,1359254.67,30938.570000000065
2025-09-16,1999108.62,1127069.04,872039.5800000001
2025-09-17,1988062.3,1178627.95,809434.3500000001
2025-09-18,1829568.81,1495249.72,334319.0900000001
2025-09-19,2071017.2,1276743.09,794274.1099999999
2025-09-20,2529351.55,1051721.61,1477629.9399999997
2025-09-21,1837690.54,1290395.66,547294.8800000001
2025-09-22,1971460.33,1442875.61,528584.72
2025-09-23,1995086.45,1305537.06,689549.3899999999
2025-09-24,1707928.79,876718.11,831210.68
2025-09-25,2072133.53,1414690.66,657442.8700000001
2025-09-26,2253594.87,891614.06,1361980.81
2025-09-27,1941537.28,1108047.85,833489.4299999999
2025-09-28,1705764.83,1004341.07,701423.7600000001
2025-09-29,1718668.89,1099087.24,619581.6499999999
2025-09-30,2391305.11,1295093.3,1096211.8099999998
2025-10-01,1816297.04,1250158.33,566138.71
2025-10-02,1688359.39,1401692.5,286666.8899999999
2025-10-03,1611277.36,1298579.92,312697.4400000002
2025-10-04,1747416.25,1449333.81,298082.43999999994
2025-10-05,2299919.92,985231.44,1314688.48
2025-10-06,2151279.46,1111122.47,1040156.99
2025-10-07,1660949.32,1038475.13,622474.1900000001
2025-10-08,2203814.27,1143597.13,1060217.14
2025-10-09,1744688.01,1162362.28,582325.73
2025-10-10,2472892.38,1071877.82,1401014.5599999998
2025-10-11,1994053.87,1534240.47,459813.40000000014
2025-10-12,1888587.82,1072614.68,815973.1400000001
2025-10-13,1877053.22,806779.53,1070273.69
2025-10-14,2581263.6,1150654.57,1430609.03
2025-10-15,1619553.67,1273575.87,345977.7999999998
2025-10-16,1857447.16,1297970.07,559477.0899999999
2025-10-17,1701613.24,1143153.12,558460.1199999999
2025-10-18,1698768.17,1265598.21,433169.96
2025-10-19,1779836.47,1437804.96,342031.51
2025-10-20,2040279.13,1294931.45,745347.6799999999
2025-10-21,1956223.65,1238532.36,717691.2899999998
2025-10-22,2417970.57,1189466.16,1228504.41
2025-10-23,1586331.48,1212338.51,373992.97
2025-10-24,2071371.77,1231699.34,839672.4299999999
2025-10-25,1749597.4,1192421.33,557176.0699999998
2025-10-26,1717738.82,1261120.28,456618.54
2025-10-27,1651284.62,811553.37,839731.2500000001
2025-10-28,1824201.89,1101772.26,722429.6299999999
2025-10-29,1666520.04,1074819.35,591700.69
2025-10-30,1712087.34,1240915.9,471171.4400000002
2025-10-31,1663423.35,1026937.19,636486.1600000001
2025-11-01,1577838.89,1302911.45,274927.43999999994
2025-11-02,1225581.18,1027178.02,198403.15999999992
2025-11-03,2086209.73,1316476.42,769733.31
2025-11-04,1591871.33,1202705.05,389166.28
2025-11-05,1879943.73,1332687.17,547256.56
2025-11-06,1852896.92,855555.01,997341.91
2025-11-07,2000388.49,1051200.48,949188.01
2025-11-08,1854017.1,1146008.95,708008.1500000001
2025-11-09,1750347.34,1425421.65,324925.6900000002
2025-11-10,1627784.57,1135158.01,492626.56000000006
2025-11-11,1511064.71,1059090.04,451974.6699999999
2025-11-12,1443721.36,1093907.63,349813.7300000002
2025-11-13,1587023.86,1245954.12,341069.74
2025-11-14,1766476.89,1168161.24,598315.6499999999
2025-11-15,1974970.99,1252434.2,722536.79
2025-11-16,1962366.63,1423665.01,538701.6199999999
2025-11-17,2026884.96,1200691.66,826193.3
2025-11-18,2040250.23,1049287.02,990963.21
2025-11-19,1831732.31,1204659.75,627072.56
2025-11-20,2329108.4,1244379.34,1084729.0599999998
2025-11-21,2017558.27,1108908.86,908649.41
2025-11-22,1794957.01,1024455.71,770501.3
2025-11-23,2160620.66,1292787.62,867833.04
2025-11-24,1688812.72,1453239.14,235573.58000000007
2025-11-25,1447133.05,1182312.84,264820.21
2025-11-26,2245889.0,1071212.86,1174676.14
2025-11-27,1678928.06,1190792.34,488135.72
2025-11-28,1607347.99,1241638.32,365709.6699999999
2025-11-29,1620918.79,1526704.22,94214.57000000008
2025-11-30,1434355.96,1245683.33,188672.6299999999
2025-12-01,1814785.39,1007923.7,806861.69
2025-12-02,1817777.43,1129487.25,688290.1799999999
2025-12-03,1947761.22,1209789.21,737972.01
2025-12-04,1607639.52,1396128.42,211511.1000000001
2025-12-05,1826646.61,942630.03,884016.5800000001
2025-12-06,2145608.34,1338597.64,807010.7
2025-12-07,1699943.95,1114945.11,584998.8399999999
2025-12-08,1897998.46,1031241.85,866756.61
2025-12-09,2005649.05,1293013.55,712635.5
2025-12-10,2011940.79,1295174.94,716765.8500000001
2025-12-11,1263647.94,1159793.26,103854.67999999992
2025-12-12,2024644.73,1055291.31,969353.42
2025-12-13,2082705.02,1276467.52,806237.5
2025-12-14,1811320.69,1349510.53,461810.1599999999
2025-12-15,1612613.73,1011873.16,600740.57
2025-12-16,1889531.35,1426445.78,463085.57000000007
2025-12-17,2066795.27,1417032.15,649763.1200000001
2025-12-18,2238350.27,791733.26,1446617.01
2025-12-19,1760393.39,1187357.78,573035.6099999999
2025-12-20,1518960.1,1632921.91,-113961.80999999982
2025-12-21,1666993.7,1619455.34,47538.35999999987
2025-12-22,1397201.91,1133443.91,263758.0
2025-12-23,1743350.06,1204017.45,539332.6100000001
2025-12-24,1692584.52,1116883.45,575701.0700000001
2025-12-25,2346569.6,1049445.41,1297124.1900000002
2025-12-26,1952999.48,1253566.43,699433.05
2025-12-27,1949932.66,912294.15,1037638.51
2025-12-28,2295088.33,1207845.43,1087242.9
2025-12-29,2043181.63,858210.8,1184970.8299999998
2025-12-30,2039366.09,1201497.88,837868.2100000002
2025-12-31,1870795.42,1098973.83,771821.5899999999
2026-01-01,1976717.75,1072221.66,904496.09
2026-01-02,1785451.08,1346472.38,438978.7000000002
2026-01-03,1659449.43,987114.27,672335.1599999999
2026-01-04,1753196.81,1318237.38,434959.43000000017
2026-01-05,2142145.61,1344078.56,798067.0499999998
2026-01-06,1730785.19,1394606.84,336178.34999999986
2026-01-07,1744173.42,1459237.64,284935.78
2026-01-08,2145493.97,1451117.07,694376.9000000001
2026-01-09,1768143.72,880651.23,887492.49
2026-01-10,1495384.73,1095466.47,399918.26
2026-01-11,1734375.3,1496444.13,237931.17000000016
2026-01-12,1965299.43,1683132.46,282166.97
2026-01-13,1714052.18,1039004.55,675047.6299999999
2026-01-14,1952045.19,1224541.83,727503.3599999999
2026-01-15,1767780.2,1395692.11,372088.0899999999
2026-01-16,1889467.72,1260379.26,629088.46
2026-01-17,1966063.65,1390526.13,575537.52
2026-01-18,2382644.78,1405244.1,977400.6799999996
2026-01-19,1399693.81,1129676.5,270017.31000000006
2026-01-20,2148010.57,1420449.66,727560.9099999999
2026-01-21,2033265.79,834674.67,1198591.12
2026-01-22,1878932.91,1154627.01,724305.8999999999
2026-01-23,1963413.3,1172572.6,790840.7
2026-01-24,1779876.77,1213670.89,566205.8800000001
2026-01-25,2676170.89,1326301.44,1349869.4500000002
2026-01-26,1978023.81,1078266.91,899756.9000000001
2026-01-27,2305322.53,1166694.15,1138628.38
2026-01-28,1479966.03,1171876.58,308089.44999999995
2026-01-29,1668338.37,1081120.26,587218.1100000001
2026-01-30,1874843.63,1164023.51,710820.1199999999
2026-01-31,2246865.75,1258189.74,988676.01
2026-02-01,2120744.33,1404203.51,716540.8200000001
2026-02-02,2290826.04,1118128.33,1172697.71
2026-02-03,1570300.59,1269539.62,300760.97
2026-02-04,1735606.41,1057299.24,678307.1699999999
2026-02-05,1996654.28,1288349.81,708304.47
2026-02-06,2063254.18,1117713.05,945541.13
2026-02-07,1986086.16,1181651.16,804435.0
2026-02-08,1457722.03,1287713.48,170008.55000000005
2026-02-09,1994625.39,1407942.29,586683.0999999999
2026-02-10,2073236.5,1316756.75,756479.75
2026-02-11,2133144.71,1250331.62,882813.0899999999
2026-02-12,1430505.82,1388131.54,42374.28000000003
2026-02-13,1719555.24,1489921.2,229634.04000000004
2026-02-14,1941898.55,1090829.08,851069.47
2026-02-15,1874929.16,1233028.16,641901.0
2026-02-16,1466842.7,1145195.87,321646.82999999984
2026-02-17,1944565.45,1279151.12,665414.3299999998
2026-02-18,1811696.2,1159882.16,651814.04
2026-02-19,1579246.12,982606.84,596639.2800000001
2026-02-20,1931495.52,1191117.65,740377.8700000001
2026-02-21,1644998.22,1523968.33,121029.8899999999
2026-02-22,1829158.64,1104706.19,724452.45
2026-02-23,1872505.51,787458.08,1085047.4300000002
2026-02-24,1464189.92,1082281.43,381908.49
2026-02-25,1590383.8,1305500.32,284883.48
2026-02-26,1923637.22,1198241.49,725395.73
2026-02-27,1833516.04,1070952.94,762563.1000000001
2026-02-28,1767710.5,1130028.24,637682.26
2026-03-01,1633246.88,831880.61,801366.2699999999
2026-03-02,1790373.7,1136109.17,654264.53
2026-03-03,2040220.82,1515359.1,524861.72
2026-03-04,1989293.85,1024955.53,964338.32
2026-03-05,1377772.67,1177673.04,200099.6299999999
2026-03-06,2357852.45,1131839.9,1226012.5500000005
2026-03-07,2095106.94,1216832.39,878274.55
2026-03-08,1519434.55,1286309.27,233125.28000000003
2026-03-09,1874743.78,1079781.87,794961.9099999999
2026-03-10,1878338.43,1140693.86,737644.5699999998
2026-03-11,1559172.39,1122873.8,436298.5899999999
2026-03-12,1900776.58,1208042.58,692734.0
2026-03-13,1875507.08,1338912.53,536594.55
2026-03-14,1780811.78,1050733.42,730078.3600000001
2026-03-15,1593632.56,746157.55,847475.01
2026-03-16,1868965.91,945273.62,923692.29
2026-03-17,2416239.02,1009756.78,1406482.24
2026-03-18,2232628.16,1090510.46,1142117.7000000002
2026-03-19,1989092.59,1074527.65,914564.9400000002
2026-03-20,1796872.79,995060.11,801812.68
2026-03-21,2241373.86,1094922.79,1146451.0699999998
2026-03-22,1949224.39,1381078.22,568146.1699999999
2026-03-23,1909297.67,1068638.4,840659.27
2026-03-24,2074077.3,1130389.16,943688.14
2026-03-25,1790551.5,1083920.79,706630.71
2026-03-26,1854044.37,1045661.03,808383.3400000001
2026-03-27,1674868.91,1193986.05,480882.8599999999
2026-03-28,2216880.72,1083006.27,1133874.4500000002
2026-03-29,2094783.91,1039596.55,1055187.36
2026-03-30,1597207.87,1305213.11,291994.76
2026-03-31,1704329.85,1280918.18,423411.67000000016
2026-04-01,2466577.92,1036235.26,1430342.66
2026-04-02,1764536.1,1046802.25,717733.8500000001
2026-04-03,1613591.39,1187042.88,426548.51
2026-04-04,1647873.81,1361208.48,286665.3300000001
2026-04-05,1705278.69,1354444.04,350834.6499999999
2026-04-06,1995029.0,1402674.68,592354.3200000001
2026-04-07,1577469.44,1239409.25,338060.18999999994
2026-04-08,1677115.1,992507.62,684607.4800000001
2026-04-09,1911303.32,971169.25,940134.07
2026-04-10,2028373.34,1201708.31,826665.03
2026-04-11,2013763.22,1369805.18,643958.04
2026-04-12,2003257.79,995124.61,1008133.18
2026-04-13,1738303.51,1223138.64,515164.8700000001
2026-04-14,2249503.67,1245520.76,1003982.91
2026-04-15,2221078.82,1028974.26,1192104.5599999998
2026-04-16,2085648.57,887068.27,1198580.3
2026-04-17,1776812.73,1301104.6,475708.1299999999
2026-04-18,1548940.97,1348253.37,200687.59999999983
2026-04-19,2089656.5,1181441.6,908214.9
2026-04-20,1777028.69,1119690.52,657338.1699999999
2026-04-21,1684983.21,1119516.01,565467.2
2026-04-22,1941396.79,1233571.3,707825.49
2026-04-23,1808400.82,1083750.61,724650.21
2026-04-24,1576287.65,1246121.54,330166.10999999987
2026-04-25,1862431.92,1078015.69,784416.23
2026-04-26,1320438.76,1045568.05,274870.71
2026-04-27,1882994.39,957478.83,925515.56
2026-04-28,1773926.65,1139053.04,634873.6099999999
2026-04-29,2243157.79,1358951.81,884205.98
2026-04-30,1964005.06,1361723.42,602281.6400000001
2026-05-01,2141033.79,1003686.56,1137347.23
2026-05-02,1812844.24,1335128.78,477715.46
2026-05-03,2019621.0,1230686.51,788934.49
2026-05-04,2096748.1,1369855.15,726892.9500000002
2026-05-05,1193119.25,1470949.43,-277830.17999999993
2026-05-06,1627657.82,1084752.58,542905.24
2026-05-07,1781291.63,993903.0,787388.6299999999
2026-05-08,2392552.24,1490276.66,902275.5800000004
2026-05-09,2225855.75,1145710.43,1080145.32
2026-05-10,2047475.22,1021282.6,1026192.62
2026-05-11,1880493.03,1172587.06,707905.97
2026-05-12,1688362.01,1122679.86,565682.1499999999
2026-05-13,2228871.35,1360456.5,868414.8500000001
2026-05-14,2209578.42,1385338.1,824240.3199999998
2026-05-15,1670697.97,962784.7,707913.27
2026-05-16,2384095.37,1110573.23,1273522.14
2026-05-17,1841227.67,1290412.27,550815.3999999999
2026-05-18,1325560.69,1278126.15,47434.54000000004
2026-05-19,1604307.84,1397417.88,206889.9600000002
2026-05-20,1810181.39,1097031.9,713149.49
2026-05-21,1806621.53,1219418.38,587203.1500000001
2026-05-22,1935210.69,1053139.94,882070.75
2026-05-23,2127228.69,1172332.81,954895.88
2026-05-24,1679354.75,1099190.25,580164.5
2026-05-25,2114116.17,1306199.9,807916.27
2026-05-26,2234520.11,1369028.29,865491.8199999998
2026-05-27,2245281.77,1142284.27,1102997.5
2026-05-28,1499671.82,1133755.79,365916.03
2026-05-29,1613610.36,1086770.75,526839.6100000001
2026-05-30,1785198.93,1183313.32,601885.6099999999
2026-05-31,2223943.21,1116657.8,1107285.41
2026-06-01,1487116.0,1010476.05,476639.95
2026-06-02,1960820.13,1223263.12,737557.0099999998
2026-06-03,2092064.0,1372824.56,719239.44
2026-06-04,1923127.96,1158978.42,764149.54
2026-06-05,2391190.77,1411636.19,979554.58
2026-06-06,1905468.37,1065047.44,840420.9300000002
2026-06-07,1566124.15,1300426.52,265697.6299999999
2026-06-08,1482783.84,1356407.47,126376.37000000013
2026-06-09,2126655.54,1084321.4,1042334.14
2026-06-10,2085458.66,1237315.01,848143.6499999999
2026-06-11,1174071.17,1242218.96,-68147.79000000004
2026-06-12,1531754.97,1178890.92,352864.05000000005
2026-06-13,1687864.53,1234613.97,453250.56000000006
2026-06-14,1600854.24,1516837.29,84016.94999999995
2026-06-15,1875816.13,1119909.44,755906.69
2026-06-16,2131482.79,1372519.64,758963.1500000001
2026-06-17,1953868.66,987922.29,965946.37
2026-06-18,1542500.16,869638.23,672861.9299999999
2026-06-19,1681313.67,1302504.68,378808.99
2026-06-20,1622442.74,811207.34,811235.4
2026-06-21,1814506.18,1558622.94,255883.24
2026-06-22,1989598.4,929830.61,1059767.79
2026-06-23,2138491.97,1059102.63,1079389.3400000003
2026-06-24,2051256.8,858766.46,1192490.34
2026-06-25,2250044.81,1076473.32,1173571.49
2026-06-26,1510339.91,891856.96,618482.95
2026-06-27,1776386.14,1237773.23,538612.9099999999
