date,campaign,spend,leads,conversions,conversion_rate
2025-03-19,Email,38258.03,1721,101,5.87
2025-03-20,Social,19557.24,612,33,5.39
2025-03-21,Search,47580.64,1234,243,19.69
2025-03-22,Email,12774.18,1655,238,14.38
2025-03-23,Partner,44882.23,1679,295,17.57
2025-03-24,Social,85748.33,1731,196,11.32
2025-03-25,Video,53446.73,539,257,47.68
2025-03-26,Social,50306.99,648,120,18.52
2025-03-27,Social,17363.7,460,283,61.52
2025-03-28,Email,11046.39,307,259,84.36
2025-03-29,Partner,25060.76,243,271,111.52
2025-03-30,Video,12604.87,163,130,79.75
2025-03-31,Partner,20356.79,767,184,23.99
2025-04-01,Email,88672.22,189,297,157.14
2025-04-02,Search,33968.18,969,173,17.85
2025-04-03,Email,45650.89,1753,50,2.85
2025-04-04,Social,11287.9,1691,119,7.04
2025-04-05,Social,42329.19,1597,295,18.47
2025-04-06,Search,55279.95,1040,138,13.27
2025-04-07,Social,72019.14,547,94,17.18
2025-04-08,Search,81780.01,888,345,38.85
2025-04-09,Partner,23950.31,1553,240,15.45
2025-04-10,Social,75106.95,1087,157,14.44
2025-04-11,Search,87202.84,319,137,42.95
2025-04-12,Search,76972.89,1034,124,11.99
2025-04-13,Search,28392.82,1596,36,2.26
2025-04-14,Email,36463.14,1555,183,11.77
2025-04-15,Email,32464.26,1042,80,7.68
2025-04-16,Video,50212.23,1117,215,19.25
2025-04-17,Search,45398.93,896,58,6.47
2025-04-18,Email,56182.42,264,96,36.36
2025-04-19,Video,88847.71,1572,22,1.4
2025-04-20,Video,75581.72,599,129,21.54
2025-04-21,Search,18520.52,499,322,64.53
2025-04-22,Video,36138.03,823,162,19.68
2025-04-23,Social,47367.2,682,91,13.34
2025-04-24,Email,66186.67,1662,158,9.51
2025-04-25,Partner,83270.14,1438,179,12.45
2025-04-26,Social,52297.31,931,105,11.28
2025-04-27,Video,13247.4,1565,284,18.15
2025-04-28,Video,74645.07,242,79,32.64
2025-04-29,Partner,80016.7,1083,301,27.79
2025-04-30,Partner,69065.6,855,155,18.13
2025-05-01,Email,53973.22,669,77,11.51
2025-05-02,Partner,27469.16,1244,122,9.81
2025-05-03,Search,17767.56,746,285,38.2
2025-05-04,Video,46619.53,1171,314,26.81
2025-05-05,Search,68997.12,1572,66,4.2
2025-05-06,Social,34798.22,1143,139,12.16
2025-05-07,Email,26470.61,849,60,7.07
2025-05-08,Social,67187.31,847,57,6.73
2025-05-09,Partner,10440.11,1042,326,31.29
2025-05-10,Social,60674.79,390,55,14.1
2025-05-11,Partner,68719.62,267,335,125.47
2025-05-12,Video,53889.54,1473,243,16.5
2025-05-13,Video,53579.91,1219,279,22.89
2025-05-14,Social,65542.52,362,62,17.13
2025-05-15,Video,82351.87,186,330,177.42
2025-05-16,Email,35211.95,1349,296,21.94
2025-05-17,Video,71674.48,877,342,39.0
2025-05-18,Search,27365.52,1652,155,9.38
2025-05-19,Search,26320.24,870,216,24.83
2025-05-20,Partner,78001.68,994,187,18.81
2025-05-21,Email,10348.56,1210,265,21.9
2025-05-22,Video,36514.87,182,139,76.37
2025-05-23,Social,76920.08,737,230,31.21
2025-05-24,Partner,65830.32,1388,202,14.55
2025-05-25,Search,72898.86,1044,200,19.16
2025-05-26,Partner,81740.95,1463,208,14.22
2025-05-27,Video,89233.5,985,91,9.24
2025-05-28,Social,72058.56,565,142,25.13
2025-05-29,Social,78472.1,1034,165,15.96
2025-05-30,Social,59775.9,1278,171,13.38
2025-05-31,Partner,13346.94,1782,314,17.62
2025-06-01,Partner,18402.77,405,153,37.78
2025-06-02,Video,79154.17,885,200,22.6
2025-06-03,Video,15132.58,1250,188,15.04
2025-06-04,Partner,47866.63,1113,61,5.48
2025-06-05,Search,39356.38,592,25,4.22
2025-06-06,Video,81431.6,222,327,147.3
2025-06-07,Partner,82567.95,1231,221,17.95
2025-06-08,Partner,89738.59,852,344,40.38
2025-06-09,Search,85627.61,1130,196,17.35
2025-06-10,Partner,10838.61,507,312,61.54
2025-06-11,Partner,58664.24,1666,322,19.33
2025-06-12,Search,29708.78,976,25,2.56
2025-06-13,Video,17357.14,1707,67,3.93
2025-06-14,Partner,37601.59,1162,143,12.31
2025-06-15,Video,72632.1,310,298,96.13
2025-06-16,Search,63634.68,1173,200,17.05
2025-06-17,Email,59868.92,943,85,9.01
2025-06-18,Partner,70391.01,1555,107,6.88
2025-06-19,Video,35636.54,360,70,19.44
2025-06-20,Search,23038.77,1733,298,17.2
2025-06-21,Email,35981.02,733,278,37.93
2025-06-22,Search,21541.1,939,258,27.48
2025-06-23,Video,40193.31,1786,332,18.59
2025-06-24,Email,84604.27,907,133,14.66
2025-06-25,Email,23363.12,187,130,69.52
2025-06-26,Search,14000.83,1169,265,22.67
2025-06-27,Search,19085.7,1480,70,4.73
2025-06-28,Social,77055.31,394,105,26.65
2025-06-29,Partner,47720.32,1736,167,9.62
2025-06-30,Partner,66089.45,477,70,14.68
2025-07-01,Search,79452.24,1362,72,5.29
2025-07-02,Email,29125.81,1549,113,7.3
2025-07-03,Partner,18750.96,298,317,106.38
2025-07-04,Social,46424.29,964,194,20.12
2025-07-05,Video,12170.21,1041,298,28.63
2025-07-06,Partner,18413.74,1527,48,3.14
2025-07-07,Video,37220.99,645,233,36.12
2025-07-08,Video,68488.74,1377,62,4.5
2025-07-09,Email,31869.78,1123,344,30.63
2025-07-10,Social,65571.72,1736,269,15.5
2025-07-11,Partner,34560.56,107,314,293.46
2025-07-12,Search,63006.5,1030,232,22.52
2025-07-13,Video,16270.66,244,308,126.23
2025-07-14,Video,34765.75,1678,329,19.61
2025-07-15,Partner,18040.42,913,232,25.41
2025-07-16,Partner,85267.42,1593,301,18.9
2025-07-17,Social,37849.79,1319,222,16.83
2025-07-18,Partner,49078.65,208,91,43.75
2025-07-19,Partner,64114.13,375,101,26.93
2025-07-20,Email,87920.99,1653,259,15.67
2025-07-21,Social,40097.99,193,61,31.61
2025-07-22,Social,84940.79,1764,178,10.09
2025-07-23,Partner,31321.55,1592,231,14.51
2025-07-24,Video,74209.52,989,256,25.88
2025-07-25,Email,69590.53,905,213,23.54
2025-07-26,Video,63269.97,1325,26,1.96
2025-07-27,Video,36278.5,924,235,25.43
2025-07-28,Partner,11322.37,429,170,39.63
2025-07-29,Social,59062.46,855,199,23.27
2025-07-30,Video,86015.53,1580,57,3.61
2025-07-31,Social,76824.06,595,279,46.89
2025-08-01,Partner,86367.49,1148,113,9.84
2025-08-02,Partner,20192.93,1528,285,18.65
2025-08-03,Search,65292.5,700,58,8.29
2025-08-04,Search,49013.55,1275,132,10.35
2025-08-05,Social,32371.21,862,106,12.3
2025-08-06,Email,78309.24,1155,277,23.98
2025-08-07,Search,88841.66,981,61,6.22
2025-08-08,Video,57482.41,549,328,59.74
2025-08-09,Video,59522.26,243,154,63.37
2025-08-10,Email,38932.72,1490,157,10.54
2025-08-11,Social,76015.14,1390,141,10.14
2025-08-12,Email,24433.05,1374,159,11.57
2025-08-13,Search,71162.88,250,38,15.2
2025-08-14,Search,63828.09,373,224,60.05
2025-08-15,Email,47597.64,1771,71,4.01
2025-08-16,Search,23839.3,1586,317,19.99
2025-08-17,Video,22408.7,612,67,10.95
2025-08-18,Partner,19517.41,662,53,8.01
2025-08-19,Video,89552.11,232,161,69.4
2025-08-20,Email,19454.19,434,109,25.12
2025-08-21,Email,61664.32,1320,298,22.58
2025-08-22,Search,54374.17,636,252,39.62
2025-08-23,Social,45590.56,333,261,78.38
2025-08-24,Social,68224.25,1403,287,20.46
2025-08-25,Search,30385.64,844,345,40.88
2025-08-26,Social,81170.39,1017,295,29.01
2025-08-27,Search,64572.04,971,102,10.5
2025-08-28,Search,65842.63,1626,253,15.56
2025-08-29,Email,28808.38,886,302,34.09
2025-08-30,Search,83397.31,249,60,24.1
2025-08-31,Search,56079.06,758,216,28.5
2025-09-01,Video,34790.23,1024,75,7.32
2025-09-02,Partner,31115.52,939,103,10.97
2025-09-03,Email,51506.38,863,267,30.94
2025-09-04,Search,77910.58,1021,226,22.14
2025-09-05,Email,80842.26,535,65,12.15
2025-09-06,Social,48831.4,1471,37,2.52
2025-09-07,Email,50887.58,1151,344,29.89
2025-09-08,Video,65881.35,1536,203,13.22
2025-09-09,Search,49344.1,1704,74,4.34
2025-09-10,Partner,20336.24,223,160,71.75
2025-09-11,Partner,44996.63,757,58,7.66
2025-09-12,Email,64750.08,1664,289,17.37
2025-09-13,Video,37631.14,169,60,35.5
2025-09-14,Social,30527.16,1627,326,20.04
2025-09-15,Social,70717.2,979,285,29.11
2025-09-16,Search,45156.09,628,221,35.19
2025-09-17,Search,37192.5,758,198,26.12
2025-09-18,Social,23414.49,1048,69,6.58
2025-09-19,Video,80807.89,1727,24,1.39
2025-09-20,Video,88650.07,1044,30,2.87
2025-09-21,Partner,72418.77,1335,151,11.31
2025-09-22,Search,64150.13,153,344,224.84
2025-09-23,Video,39372.74,1614,208,12.89
2025-09-24,Search,12315.31,391,128,32.74
2025-09-25,Partner,73828.35,553,265,47.92
2025-09-26,Video,80525.07,900,218,24.22
2025-09-27,Partner,18316.16,1261,29,2.3
2025-09-28,Email,38185.7,1283,46,3.59
2025-09-29,Search,15250.76,763,74,9.7
2025-09-30,Social,62299.51,575,172,29.91
2025-10-01,Video,37413.13,544,58,10.66
2025-10-02,Email,80786.61,1403,330,23.52
2025-10-03,Search,76142.01,1575,120,7.62
2025-10-04,Video,76691.02,1230,199,16.18
2025-10-05,Video,72010.67,1406,313,22.26
2025-10-06,Video,88027.78,1611,46,2.86
2025-10-07,Social,20760.14,1139,113,9.92
2025-10-08,Social,33436.6,1177,138,11.72
2025-10-09,Video,45392.93,545,308,56.51
2025-10-10,Email,47139.12,1531,67,4.38
2025-10-11,Video,43058.22,896,195,21.76
2025-10-12,Search,66873.36,1487,295,19.84
2025-10-13,Video,58026.57,1428,317,22.2
2025-10-14,Email,48948.27,270,91,33.7
2025-10-15,Social,71836.94,1065,166,15.59
2025-10-16,Search,30733.12,1592,241,15.14
2025-10-17,Email,42120.87,1242,125,10.06
2025-10-18,Email,61860.09,266,113,42.48
2025-10-19,Social,38711.87,1062,45,4.24
2025-10-20,Video,56872.01,1427,270,18.92
2025-10-21,Social,37350.96,123,343,278.86
2025-10-22,Social,64368.15,851,201,23.62
2025-10-23,Search,26516.45,1186,273,23.02
2025-10-24,Partner,28785.1,599,119,19.87
2025-10-25,Video,80559.84,940,134,14.26
2025-10-26,Email,18286.73,1138,229,20.12
2025-10-27,Video,65878.41,423,38,8.98
2025-10-28,Social,75905.68,1698,309,18.2
2025-10-29,Search,62259.05,315,159,50.48
2025-10-30,Video,45708.65,1723,323,18.75
2025-10-31,Video,44539.9,716,163,22.77
2025-11-01,Social,16338.65,266,266,100.0
2025-11-02,Email,30784.46,1055,222,21.04
2025-11-03,Partner,63229.69,547,256,46.8
2025-11-04,Search,54579.78,955,152,15.92
2025-11-05,Video,15259.66,560,228,40.71
2025-11-06,Search,11684.77,552,251,45.47
2025-11-07,Social,54136.05,585,274,46.84
2025-11-08,Search,88905.47,858,334,38.93
2025-11-09,Social,29014.2,168,27,16.07
2025-11-10,Search,67511.7,945,123,13.02
2025-11-11,Partner,73405.2,1199,108,9.01
2025-11-12,Email,70606.42,378,123,32.54
2025-11-13,Social,41521.97,711,301,42.33
2025-11-14,Video,16329.46,1051,312,29.69
2025-11-15,Partner,84264.56,929,66,7.1
2025-11-16,Partner,49402.18,1738,160,9.21
2025-11-17,Video,36436.62,519,28,5.39
2025-11-18,Partner,27919.59,442,215,48.64
2025-11-19,Video,66474.06,1343,270,20.1
2025-11-20,Social,87027.79,658,119,18.09
2025-11-21,Email,86016.54,1178,242,20.54
2025-11-22,Social,36662.71,1059,284,26.82
2025-11-23,Email,39958.96,1003,49,4.89
2025-11-24,Search,75012.78,959,131,13.66
2025-11-25,Social,74217.39,1790,200,11.17
2025-11-26,Social,53661.67,1776,230,12.95
2025-11-27,Search,24006.36,1510,54,3.58
2025-11-28,Email,31247.04,1789,248,13.86
2025-11-29,Video,14179.87,1686,265,15.72
2025-11-30,Email,35172.89,627,201,32.06
2025-12-01,Social,69905.86,1253,244,19.47
2025-12-02,Email,37742.7,1070,190,17.76
2025-12-03,Search,76205.0,242,313,129.34
2025-12-04,Social,18020.96,1121,230,20.52
2025-12-05,Social,70008.21,934,79,8.46
2025-12-06,Search,26366.08,574,347,60.45
2025-12-07,Email,21136.29,453,72,15.89
2025-12-08,Social,86391.75,749,82,10.95
2025-12-09,Search,26971.13,988,183,18.52
2025-12-10,Search,27633.55,1600,230,14.37
2025-12-11,Partner,60115.7,423,262,61.94
2025-12-12,Video,66868.53,1074,194,18.06
2025-12-13,Video,10678.07,676,204,30.18
2025-12-14,Social,83327.85,565,47,8.32
2025-12-15,Email,40055.66,1147,292,25.46
2025-12-16,Partner,54036.49,872,212,24.31
2025-12-17,Partner,82962.92,249,28,11.24
2025-12-18,Social,66267.41,698,122,17.48
2025-12-19,Search,10690.64,818,124,15.16
2025-12-20,Search,21867.16,482,78,16.18
2025-12-21,Email,37983.39,496,101,20.36
2025-12-22,Video,80613.18,215,153,71.16
2025-12-23,Email,33630.89,1624,190,11.7
2025-12-24,Social,80750.04,1124,191,16.99
2025-12-25,Email,14535.47,969,340,35.09
2025-12-26,Search,52948.18,300,282,94.0
2025-12-27,Partner,56678.12,905,157,17.35
2025-12-28,Email,58209.32,1432,48,3.35
2025-12-29,Search,53022.78,529,172,32.51
2025-12-30,Partner,33300.28,657,314,47.79
2025-12-31,Partner,10640.91,1489,135,9.07
2026-01-01,Social,76016.7,1423,21,1.48
2026-01-02,Search,10220.56,1797,255,14.19
2026-01-03,Social,88677.72,1024,251,24.51
2026-01-04,Search,88233.76,844,174,20.62
2026-01-05,Search,81655.47,181,31,17.13
2026-01-06,Video,10559.15,1369,78,5.7
2026-01-07,Video,10493.88,710,342,48.17
2026-01-08,Social,52250.02,152,41,26.97
2026-01-09,Social,67143.66,1101,211,19.16
2026-01-10,Partner,87618.84,1734,132,7.61
2026-01-11,Social,48057.4,949,197,20.76
2026-01-12,Video,25305.94,899,72,8.01
2026-01-13,Email,16729.7,1165,115,9.87
2026-01-14,Email,39993.5,143,195,136.36
2026-01-15,Partner,63027.46,206,222,107.77
2026-01-16,Social,28321.76,1109,197,17.76
2026-01-17,Partner,89587.62,538,280,52.04
2026-01-18,Social,15456.25,131,162,123.66
2026-01-19,Partner,22665.41,306,199,65.03
2026-01-20,Video,54961.79,1413,182,12.88
2026-01-21,Video,50309.48,1027,298,29.02
2026-01-22,Social,33321.07,1071,174,16.25
2026-01-23,Social,42638.9,1319,309,23.43
2026-01-24,Search,73905.98,439,109,24.83
2026-01-25,Search,44995.03,1296,176,13.58
2026-01-26,Video,79437.97,1204,152,12.62
2026-01-27,Search,68340.61,296,230,77.7
2026-01-28,Video,43401.99,1005,192,19.1
2026-01-29,Social,84374.58,1034,63,6.09
2026-01-30,Email,22279.63,1775,20,1.13
2026-01-31,Email,31721.97,1030,46,4.47
2026-02-01,Search,71524.94,1472,302,20.52
2026-02-02,Search,86477.89,1135,51,4.49
2026-02-03,Video,51238.76,879,210,23.89
2026-02-04,Partner,38535.24,913,34,3.72
2026-02-05,Email,11271.07,1401,122,8.71
2026-02-06,Social,58703.59,1434,45,3.14
2026-02-07,Video,69583.7,660,147,22.27
2026-02-08,Social,14395.5,649,97,14.95
2026-02-09,Search,64220.87,218,233,106.88
2026-02-10,Partner,16334.46,547,329,60.15
2026-02-11,Social,46405.43,632,209,33.07
2026-02-12,Video,77568.3,571,270,47.29
2026-02-13,Email,75072.14,1143,154,13.47
2026-02-14,Video,80627.33,1363,84,6.16
2026-02-15,Email,26570.5,788,204,25.89
2026-02-16,Email,75204.96,899,63,7.01
2026-02-17,Social,20123.45,733,239,32.61
2026-02-18,Email,26023.34,444,71,15.99
2026-02-19,Video,22134.42,1274,252,19.78
2026-02-20,Email,52406.32,1333,167,12.53
2026-02-21,Social,19056.42,877,27,3.08
2026-02-22,Search,40297.79,1780,101,5.67
2026-02-23,Email,70237.13,756,27,3.57
2026-02-24,Partner,31301.77,236,63,26.69
2026-02-25,Email,78478.26,1123,163,14.51
2026-02-26,Partner,19397.09,1563,283,18.11
2026-02-27,Partner,57421.14,923,34,3.68
2026-02-28,Email,57700.64,1016,342,33.66
2026-03-01,Email,74872.47,1358,340,25.04
2026-03-02,Search,18371.98,629,203,32.27
2026-03-03,Search,64244.26,1049,175,16.68
2026-03-04,Video,59213.77,341,305,89.44
2026-03-05,Search,42023.2,377,101,26.79
2026-03-06,Email,73160.29,1683,253,15.03
2026-03-07,Email,79287.93,1417,131,9.24
2026-03-08,Video,85799.51,856,135,15.77
2026-03-09,Partner,32203.88,794,120,15.11
2026-03-10,Video,72321.18,1641,102,6.22
2026-03-11,Search,44641.72,1684,109,6.47
2026-03-12,Video,27049.24,938,196,20.9
2026-03-13,Partner,49531.33,340,167,49.12
2026-03-14,Search,24437.6,414,71,17.15
2026-03-15,Partner,43738.73,1613,140,8.68
2026-03-16,Partner,18767.6,186,104,55.91
2026-03-17,Partner,13690.35,635,325,51.18
2026-03-18,Social,79405.96,1144,109,9.53
2026-03-19,Video,50695.32,804,274,34.08
2026-03-20,Social,50992.81,1087,311,28.61
2026-03-21,Search,88378.09,996,296,29.72
2026-03-22,Search,13364.52,626,99,15.81
2026-03-23,Email,64454.25,1118,158,14.13
2026-03-24,Partner,46588.17,1083,45,4.16
2026-03-25,Social,34549.21,1276,285,22.34
2026-03-26,Video,25743.68,560,327,58.39
2026-03-27,Email,28933.8,374,198,52.94
2026-03-28,Social,37172.95,1599,234,14.63
2026-03-29,Email,33551.63,434,40,9.22
2026-03-30,Social,13057.99,1055,83,7.87
2026-03-31,Search,60503.77,1084,308,28.41
2026-04-01,Email,23820.12,1685,309,18.34
2026-04-02,Partner,81184.06,314,139,44.27
2026-04-03,Video,79993.38,1202,150,12.48
2026-04-04,Email,43413.84,385,301,78.18
2026-04-05,Video,89474.58,1725,213,12.35
2026-04-06,Video,67149.39,821,245,29.84
2026-04-07,Video,51436.78,1667,93,5.58
2026-04-08,Search,36129.83,897,240,26.76
2026-04-09,Email,38843.18,558,121,21.68
2026-04-10,Search,87166.53,261,187,71.65
2026-04-11,Email,54128.55,615,211,34.31
2026-04-12,Partner,79946.26,1362,112,8.22
2026-04-13,Partner,73133.97,128,122,95.31
2026-04-14,Social,69109.55,1271,45,3.54
2026-04-15,Partner,63798.05,1652,315,19.07
2026-04-16,Video,80934.84,868,89,10.25
2026-04-17,Email,53175.33,1344,57,4.24
2026-04-18,Social,86259.47,1721,32,1.86
2026-04-19,Email,66168.65,1481,221,14.92
2026-04-20,Search,82857.23,1680,51,3.04
2026-04-21,Search,24398.61,474,102,21.52
2026-04-22,Social,34482.17,730,31,4.25
2026-04-23,Partner,44170.34,557,67,12.03
2026-04-24,Social,50672.98,549,22,4.01
2026-04-25,Social,65628.67,218,141,64.68
2026-04-26,Partner,39931.67,406,257,63.3
2026-04-27,Social,51463.67,276,273,98.91
2026-04-28,Social,70461.18,387,299,77.26
2026-04-29,Social,14266.07,933,349,37.41
2026-04-30,Search,20234.94,1396,126,9.03
2026-05-01,Search,22011.78,219,127,57.99
2026-05-02,Video,21997.27,605,226,37.36
2026-05-03,Email,88804.67,444,117,26.35
2026-05-04,Search,52180.6,1579,32,2.03
2026-05-05,Partner,80579.95,153,273,178.43
2026-05-06,Email,56849.0,100,152,152.0
2026-05-07,Partner,14435.93,593,259,43.68
2026-05-08,Email,31495.78,1254,80,6.38
2026-05-09,Video,89070.16,1762,42,2.38
2026-05-10,Video,30778.36,874,107,12.24
2026-05-11,Social,40610.72,1315,232,17.64
2026-05-12,Video,44621.5,1169,244,20.87
2026-05-13,Search,68583.11,1373,170,12.38
2026-05-14,Social,23238.76,1283,165,12.86
2026-05-15,Partner,14280.26,1027,215,20.93
2026-05-16,Social,88456.31,364,310,85.16
2026-05-17,Search,87330.8,1325,61,4.6
2026-05-18,Social,87451.6,1664,22,1.32
2026-05-19,Social,60472.63,627,247,39.39
2026-05-20,Email,86040.83,171,65,38.01
2026-05-21,Social,74572.91,1174,339,28.88
2026-05-22,Video,24405.4,671,137,20.42
2026-05-23,Email,89500.69,1337,121,9.05
2026-05-24,Video,18618.66,1015,220,21.67
2026-05-25,Partner,18906.26,1785,148,8.29
2026-05-26,Search,12030.1,838,260,31.03
2026-05-27,Video,58824.26,357,74,20.73
2026-05-28,Social,24729.33,916,96,10.48
2026-05-29,Social,64599.1,754,59,7.82
2026-05-30,Partner,29021.17,1160,241,20.78
2026-05-31,Partner,44458.74,590,197,33.39
2026-06-01,Email,82868.23,1577,234,14.84
2026-06-02,Partner,27220.82,1704,222,13.03
2026-06-03,Partner,65869.53,528,256,48.48
2026-06-04,Social,84293.11,1750,152,8.69
2026-06-05,Search,34640.0,1301,198,15.22
2026-06-06,Email,70234.5,624,140,22.44
2026-06-07,Social,84904.22,213,124,58.22
2026-06-08,Email,32402.0,624,298,47.76
2026-06-09,Email,63791.45,811,340,41.92
2026-06-10,Email,84183.17,763,202,26.47
2026-06-11,Social,48160.13,172,323,187.79
2026-06-12,Video,56101.06,1089,94,8.63
2026-06-13,Social,79261.47,643,137,21.31
2026-06-14,Search,31063.6,1645,332,20.18
2026-06-15,Social,74040.02,946,272,28.75
2026-06-16,Social,37311.17,477,188,39.41
2026-06-17,Video,26047.15,1795,334,18.61
2026-06-18,Search,65934.41,676,231,34.17
2026-06-19,Partner,88693.19,245,267,108.98
2026-06-20,Partner,25438.73,1646,25,1.52
2026-06-21,Search,62886.06,1537,272,17.7
2026-06-22,Video,68991.56,191,166,86.91
2026-06-23,Search,49074.14,253,41,16.21
2026-06-24,Email,19130.68,1496,168,11.23
2026-06-25,Email,54295.53,568,305,53.7
2026-06-26,Search,24883.73,1694,326,19.24
2026-06-27,Search,11549.21,1759,165,9.38
2026-06-28,Video,21752.37,897,72,8.03
2026-06-29,Video,66538.87,168,290,172.62
2026-06-30,Search,54859.44,281,221,78.65
2026-07-01,Search,85692.17,1485,163,10.98
2026-07-02,Social,67325.61,434,262,60.37
2026-07-03,Partner,58026.42,234,258,110.26
2026-07-04,Social,53315.8,114,237,207.89
2026-07-05,Social,46399.81,688,319,46.37
2026-07-06,Social,79770.75,386,194,50.26
2026-07-07,Search,77834.88,915,91,9.95
2026-07-08,Video,50091.3,965,159,16.48
2026-07-09,Search,10262.17,985,131,13.3
2026-07-10,Social,55281.54,297,223,75.08
2026-07-11,Social,60711.88,675,46,6.81
2026-07-12,Email,48124.05,246,284,115.45
2026-07-13,Social,37507.56,1189,86,7.23
2026-07-14,Video,30368.14,568,31,5.46
2026-07-15,Search,66820.68,264,244,92.42
2026-07-16,Social,21475.88,1098,198,18.03
2026-07-17,Video,29164.56,1236,153,12.38
2026-07-18,Search,48252.46,661,250,37.82
2026-07-19,Video,16165.87,1333,246,18.45
2026-07-20,Social,59637.01,836,181,21.65
2026-07-21,Video,13534.08,1379,283,20.52
2026-07-22,Social,45392.6,1682,44,2.62
2026-07-23,Partner,25754.53,841,211,25.09
2026-07-24,Social,88214.26,798,26,3.26
2026-07-25,Email,12727.83,825,34,4.12
2026-07-26,Video,53435.69,1196,145,12.12
2026-07-27,Video,10589.54,1280,189,14.77
2026-07-28,Email,59287.89,979,54,5.52
2026-07-29,Video,70609.54,1496,328,21.93
2026-07-30,Social,83633.71,740,88,11.89
2026-07-31,Video,79185.29,1262,107,8.48
2026-08-01,Email,74511.51,409,174,42.54
2026-08-02,Email,37180.18,193,78,40.41
2026-08-03,Partner,32457.53,1724,260,15.08
2026-08-04,Video,88679.35,917,123,13.41
2026-08-05,Email,65720.68,1005,158,15.72
2026-08-06,Search,65757.44,1648,171,10.38
2026-08-07,Partner,15706.82,525,116,22.1
2026-08-08,Email,69503.25,1373,146,10.63
2026-08-09,Video,88066.77,1556,302,19.41
2026-08-10,Social,17367.92,120,244,203.33
2026-08-11,Video,52349.64,1516,63,4.16
2026-08-12,Partner,69911.29,593,247,41.65
2026-08-13,Partner,32757.85,1339,131,9.78
