sale_id,date,order_id,customer_id,product,region,channel,units,revenue,cost,expense,profit
58,2025-06-22 00:00:00,2208,468,Studio Headphones,Central,Marketplace,2,11433.39,8715.38,984.7,1733.31
59,2025-04-28 00:00:00,23532,3096,SSD 2TB,Central,Retail,2,24438.43,20129.96,1634.37,2674.1
60,2025-04-01 00:00:00,12998,8824,Fast Charger,South,Marketplace,2,2408.39,1996.71,237.32,174.35
61,2025-12-31 00:00:00,1322,3331,Smart Lock,West,B2B,4,30261.94,20031.65,2715.6,7514.69
62,2026-05-07 00:00:00,20579,2532,SSD 2TB,West,Website,3,42397.04,30953.26,4195.88,7247.9
63,2026-08-17 00:00:00,19997,4281,Business Laptop 14,Central,Retail,1,66925.93,50158.77,4645.42,12121.75
64,2025-01-20 00:00:00,14708,121,UPS 2KVA,North,Marketplace,2,27270.04,17816.58,2309.25,7144.21
65,2025-01-02 00:00:00,53,9565,Creator Laptop,East,Website,3,285259.13,183812.0,33038.07,68409.06
66,2026-02-17 00:00:00,7229,7108,4K Monitor,South,Marketplace,1,32249.86,20867.02,3219.13,8163.71
67,2025-06-13 00:00:00,13342,6327,Smart Lock,Central,Marketplace,2,14869.95,10924.7,774.49,3170.76
68,2025-10-17 00:00:00,21501,6629,Business Laptop 14,East,Website,2,112240.52,93808.28,11846.36,6585.89
69,2025-02-17 00:00:00,19803,2630,Mechanical Keyboard,South,Website,1,3216.3,2073.55,362.28,780.47
70,2025-02-15 00:00:00,5638,9959,Gaming Laptop,East,Website,4,376654.26,302784.81,25530.31,48339.15
71,2025-11-18 00:00:00,17014,5233,NAS 2-Bay,Central,Retail,1,25935.18,15622.58,2446.82,7865.78
72,2026-02-23 00:00:00,24643,1046,Bluetooth Speaker,East,Website,1,4314.59,3327.92,529.62,457.05
73,2026-06-23 00:00:00,24784,8714,Gaming Laptop,West,B2B,1,102055.91,72318.58,5394.6,24342.73
74,2025-10-21 00:00:00,11194,4690,Wireless Headset,North,Retail,1,3114.96,1881.09,351.91,881.95
75,2026-01-28 00:00:00,13712,2020,Fast Charger,South,Retail,1,1343.46,1105.35,153.17,84.95
76,2026-06-07 00:00:00,11569,8686,Mini PC,North,Retail,3,129282.88,79056.19,15648.0,34578.7
77,2025-09-20 00:00:00,19287,5744,4K Monitor,South,Website,1,27088.34,18291.18,3416.0,5381.15
78,2025-05-07 00:00:00,17516,404,Webcam Pro,Central,Marketplace,2,13930.94,8460.09,991.23,4479.62
79,2026-05-17 00:00:00,1592,5846,Smartphone A,Central,Marketplace,2,37062.19,30767.67,2650.23,3644.29
80,2025-01-02 00:00:00,15569,243,Power Bank,North,B2B,1,1528.74,1156.39,170.15,202.2
81,2025-06-17 00:00:00,18033,4451,UPS 1KVA,West,Marketplace,1,6957.99,4387.52,694.07,1876.4
82,2025-03-21 00:00:00,24112,2710,Ultrabook,North,Marketplace,2,141969.35,108977.72,9370.66,23620.96
83,2026-01-27 00:00:00,13997,610,Studio Headphones,Central,Retail,4,27580.55,23038.43,2050.22,2491.9
84,2025-06-13 00:00:00,8104,9122,Mesh Router,West,Website,4,33078.56,23970.75,3393.12,5714.7
85,2025-07-29 00:00:00,4986,5788,Fitness Band,North,Website,1,3220.34,2133.02,320.15,767.18
86,2026-02-01 00:00:00,3146,4970,SSD 1TB,North,B2B,1,7140.26,5282.62,832.11,1025.52
87,2025-06-30 00:00:00,891,5568,Mechanical Keyboard,North,Retail,1,3147.72,2354.03,258.14,535.56
88,2025-08-09 00:00:00,10167,3875,Smart Monitor 27,Central,Retail,1,15168.91,10868.07,1528.58,2772.27
89,2025-10-31 00:00:00,2706,3155,External HDD,Central,Website,2,11419.37,9282.46,1362.27,774.63
90,2025-03-13 00:00:00,4129,9103,Mesh Router,Central,Website,2,17665.19,13057.68,1920.74,2686.77
91,2026-07-23 00:00:00,6259,7107,Ultrabook,South,B2B,2,178937.3,137028.87,22509.63,19398.79
92,2026-08-20 00:00:00,16190,6016,WiFi Router,Central,B2B,2,9159.31,7044.9,476.67,1637.75
93,2026-03-10 00:00:00,20569,6894,Mesh Router,Central,B2B,4,36954.69,26076.21,4367.49,6511.0
94,2025-03-07 00:00:00,5720,9594,Business Laptop 15,South,B2B,1,59708.21,41186.61,5475.68,13045.91
95,2025-10-15 00:00:00,12739,1130,Security Camera,South,Marketplace,3,16516.01,12715.93,2107.2,1692.88
96,2025-08-04 00:00:00,10229,5572,Smart Monitor 24,Central,Website,2,23034.01,14638.59,2714.07,5681.35
97,2025-04-12 00:00:00,22469,4600,Webcam Pro,North,Retail,3,18488.35,13603.05,1304.56,3580.74
98,2026-06-17 00:00:00,17917,2286,Fast Charger,South,Website,2,2927.94,2026.45,318.33,583.17
99,2025-09-10 00:00:00,9322,9344,Fitness Band,North,Marketplace,3,9501.52,6638.95,1001.63,1860.95
100,2026-02-01 00:00:00,2437,279,Wireless Headset,East,Website,2,6337.02,5086.6,773.74,476.68
101,2026-02-25 00:00:00,5265,1307,Mesh Router,Central,Website,2,18159.98,11745.68,1551.25,4863.05
102,2025-07-14 00:00:00,24422,675,Bluetooth Speaker,South,B2B,1,4557.88,3112.59,496.99,948.3
103,2025-07-31 00:00:00,5564,7096,WiFi Router,West,Website,4,15340.5,11359.16,1397.54,2583.8
104,2026-08-13 00:00:00,24397,8007,Nexora Mouse,North,Website,1,756.66,508.67,60.05,187.94
105,2026-05-17 00:00:00,13150,8317,NAS 2-Bay,North,Website,3,90611.43,74440.61,9094.59,7076.23
106,2025-11-01 00:00:00,8011,6234,NAS 2-Bay,Central,Retail,1,29326.27,21231.09,3114.8,4980.38
107,2025-11-21 00:00:00,5306,2227,NAS 2-Bay,West,B2B,3,76961.39,53736.45,9261.06,13963.89
108,2025-01-05 00:00:00,2937,5039,Power Bank,North,Website,3,4759.53,3599.09,391.29,769.15
109,2025-05-05 00:00:00,7055,7886,Gaming Laptop,West,B2B,1,84901.88,62145.42,6339.74,16416.72
110,2025-01-04 00:00:00,7587,3998,SSD 1TB,Central,B2B,2,12939.69,8458.87,1135.29,3345.53
111,2026-05-06 00:00:00,14086,6519,Smart Monitor 24,North,Website,2,23871.19,15961.02,2453.78,5456.4
112,2026-07-27 00:00:00,15990,3064,NAS 2-Bay,North,Website,1,31080.01,25521.97,3186.32,2371.72
113,2025-04-09 00:00:00,6178,2821,Smartphone A,Central,Marketplace,1,18019.68,12923.14,2328.25,2768.29
114,2025-06-20 00:00:00,3404,6966,Gaming Laptop,South,Marketplace,2,176355.52,120593.27,9503.18,46259.07
115,2025-08-03 00:00:00,24794,3546,Tablet 10,Central,B2B,3,69735.24,57731.16,5697.81,6306.27
116,2026-05-09 00:00:00,6656,6609,Smartphone A,North,B2B,1,18149.42,13574.25,1594.82,2980.35
117,2025-09-05 00:00:00,6369,7356,Nexora Keyboard,South,B2B,1,1278.61,979.51,71.71,227.4
118,2025-01-27 00:00:00,2221,2295,Wireless Headset,East,Marketplace,4,12229.32,8148.36,739.63,3341.32
119,2025-12-23 00:00:00,19040,4673,Webcam Pro,Central,B2B,3,21440.49,13897.31,2352.8,5190.38
120,2025-03-31 00:00:00,20329,3420,USB-C Hub,West,Website,3,5043.5,3579.21,299.52,1164.77
121,2026-01-28 00:00:00,13631,1440,Ultrabook,Central,B2B,2,153406.13,107312.57,14097.94,31995.63
122,2026-06-05 00:00:00,14335,5,Power Bank,West,Retail,1,1871.32,1476.87,229.07,165.38
123,2025-02-11 00:00:00,20507,6999,Power Bank,Central,Retail,1,1755.77,1147.66,204.6,403.51
124,2026-08-28 00:00:00,24859,2325,Gaming Laptop,West,B2B,1,100815.08,75042.06,8437.76,17335.26
125,2026-02-08 00:00:00,16935,735,Business Router,West,B2B,1,15821.39,11221.92,2048.15,2551.32
126,2025-02-01 00:00:00,8394,9065,Smartphone A,North,Marketplace,1,17743.85,13769.96,1063.32,2910.58
127,2025-05-14 00:00:00,3050,9197,Mechanical Keyboard,South,Retail,2,6686.39,5522.76,628.49,535.14
128,2025-04-12 00:00:00,2322,8224,External HDD,South,Marketplace,1,5820.14,3730.53,354.98,1734.63
129,2026-06-22 00:00:00,9804,1174,Smartphone A,North,Website,4,75907.52,61035.44,5394.95,9477.13
130,2026-03-16 00:00:00,10566,8572,Fitness Band,Central,Marketplace,2,6599.3,5230.13,529.72,839.44
131,2025-08-15 00:00:00,19563,9495,Smartphone A,West,B2B,1,18930.71,14424.31,2213.96,2292.45
132,2025-11-18 00:00:00,11603,660,Smartphone A,Central,B2B,1,19568.26,12446.96,1968.04,5153.26
133,2025-07-31 00:00:00,10331,185,Mechanical Keyboard,West,Retail,1,3281.54,2550.9,260.22,470.42
134,2025-09-04 00:00:00,24795,6287,Smartphone A,East,Marketplace,2,36420.99,25165.65,2568.25,8687.09
135,2026-01-23 00:00:00,3077,6605,NAS 2-Bay,South,B2B,3,82087.71,68360.43,10169.7,3557.58
136,2025-04-29 00:00:00,14545,6088,Smart Monitor 27,Central,Retail,2,30106.76,21244.29,3407.24,5455.23
137,2026-04-07 00:00:00,17919,1373,Smartwatch,North,Website,3,25997.96,16547.5,2153.37,7297.09
138,2026-07-29 00:00:00,1746,6587,Nexora Keyboard,North,B2B,1,1470.96,1153.9,89.33,227.73
139,2026-08-16 00:00:00,22785,2751,4K Monitor,Central,Retail,1,30164.47,23770.73,3683.89,2709.85
140,2025-04-15 00:00:00,18701,2648,Ultrabook,North,Marketplace,1,81567.37,57353.29,7650.4,16563.68
141,2025-09-08 00:00:00,3269,9126,Surge Protector,South,Retail,1,1097.28,870.91,106.47,119.91
142,2025-06-11 00:00:00,11046,9752,Webcam HD,East,Marketplace,1,2544.62,1913.12,146.47,485.03
143,2026-01-22 00:00:00,2885,9800,Smart Monitor 24,East,Marketplace,3,37494.59,28531.63,4614.8,4348.15
144,2025-07-17 00:00:00,18202,4666,Creator Laptop,South,Marketplace,2,208679.84,143605.74,15360.76,49713.34
145,2025-08-28 00:00:00,9290,7657,Surge Protector,West,Website,3,3357.47,2187.79,216.67,953.02
146,2025-03-26 00:00:00,23733,743,Business Router,South,Retail,2,30746.04,19400.08,2497.98,8847.98
147,2025-12-07 00:00:00,19306,6069,Nexora Keyboard,East,Marketplace,1,1291.71,1010.95,119.83,160.92
148,2025-11-23 00:00:00,22404,6502,Webcam Pro,Central,B2B,1,7239.28,6023.13,811.57,404.58
149,2025-12-02 00:00:00,6684,7040,WiFi Router,North,Marketplace,1,4427.19,3265.7,236.03,925.46
150,2025-07-27 00:00:00,18144,321,Pro Mouse,North,Website,1,1189.09,842.5,139.91,206.68
151,2026-04-05 00:00:00,4326,9588,Business Router,East,B2B,4,66098.92,40063.76,6034.47,20000.69
152,2026-01-05 00:00:00,24702,6338,Smart Monitor 24,North,Marketplace,4,51303.29,41874.79,4392.39,5036.1
153,2025-04-18 00:00:00,941,1703,Smart Lock,South,B2B,1,8079.04,6589.48,463.21,1026.35
154,2025-08-12 00:00:00,17331,413,Smart Monitor 24,North,Retail,1,10924.73,7641.3,756.13,2527.3
155,2026-02-06 00:00:00,17840,6751,Ultrabook,East,B2B,1,90035.51,69747.14,8092.29,12196.08
156,2025-03-12 00:00:00,12525,976,Power Bank,East,Website,2,3312.58,2572.16,403.75,336.67
157,2025-08-03 00:00:00,23740,7138,Wireless Headset,South,B2B,2,6582.02,4094.28,588.85,1898.88
158,2026-06-15 00:00:00,1312,3708,Smartphone A,Central,B2B,1,19507.95,14262.81,1719.4,3525.74
159,2025-09-26 00:00:00,5444,4657,Tablet 10,North,Marketplace,3,61916.36,41195.19,6436.99,14284.17
160,2025-11-06 00:00:00,17672,3400,NAS 2-Bay,East,Website,1,25308.73,19271.88,2173.15,3863.71
161,2026-02-19 00:00:00,1728,7055,Surge Protector,West,B2B,2,2421.88,1554.14,303.52,564.22
162,2025-07-15 00:00:00,10634,1554,Power Bank,North,Website,2,3176.13,2471.76,195.84,508.53
163,2026-05-18 00:00:00,12016,5506,Creator Laptop,West,Marketplace,2,241044.56,171607.18,24275.56,45161.82
164,2025-01-10 00:00:00,5008,5359,Creator Laptop,Central,Marketplace,2,188369.3,149994.45,11787.4,26587.45
165,2025-10-15 00:00:00,2046,5818,Creator Laptop,North,Website,2,196893.33,155289.17,23032.73,18571.42
166,2025-12-30 00:00:00,8703,5057,WiFi Router,West,B2B,1,4236.77,3234.58,242.04,760.15
167,2025-05-26 00:00:00,17967,8283,Smart Monitor 27,South,Retail,3,49527.52,30199.8,3834.33,15493.39
168,2026-04-21 00:00:00,17938,6586,Studio Headphones,Central,B2B,1,6211.73,4877.66,408.22,925.85
169,2025-02-18 00:00:00,17460,5436,4K Monitor,East,Marketplace,1,25656.96,19154.08,3040.47,3462.41
170,2026-01-31 00:00:00,4188,5745,Nexora Mouse,East,Retail,2,1545.35,975.79,78.98,490.58
171,2026-01-21 00:00:00,23662,5899,USB-C Hub,West,Website,2,3811.61,2577.12,250.59,983.9
172,2026-04-24 00:00:00,14931,6727,Mechanical Keyboard,East,B2B,1,3471.23,2913.37,449.98,107.89
173,2025-05-06 00:00:00,22880,311,External HDD,East,Marketplace,1,5993.72,4893.74,452.98,647.0
174,2025-04-05 00:00:00,5962,9452,SSD 1TB,West,Website,4,25807.2,17393.08,2571.01,5843.11
175,2025-12-19 00:00:00,24882,196,Fast Charger,East,Retail,3,4397.02,3164.65,526.32,706.05
176,2026-08-14 00:00:00,1322,921,Gaming Laptop,East,Marketplace,2,213316.63,130079.71,15086.13,68150.79
177,2026-04-23 00:00:00,17503,6095,SSD 1TB,North,B2B,1,8234.77,6887.34,573.77,773.66
178,2025-05-09 00:00:00,23249,7300,Studio Headphones,East,Website,4,23441.77,19504.08,1815.27,2122.42
179,2025-09-05 00:00:00,21238,7340,Smart Lock,Central,B2B,1,8299.47,5209.31,843.58,2246.58
180,2025-06-12 00:00:00,16327,5054,Tablet 10,South,B2B,1,23223.66,15856.27,1573.52,5793.87
181,2026-04-20 00:00:00,343,4119,UPS 1KVA,South,B2B,1,7764.27,4770.1,956.39,2037.79
182,2025-11-08 00:00:00,9548,3491,Studio Headphones,North,Retail,2,11571.46,9189.24,941.76,1440.47
183,2025-09-23 00:00:00,5257,6078,Mini PC,West,Website,3,113561.44,80798.61,8518.62,24244.21
184,2025-01-04 00:00:00,2793,1143,Fast Charger,North,Marketplace,1,1271.98,1052.38,94.68,124.92
185,2026-01-21 00:00:00,4112,6450,Mini PC,South,B2B,1,40182.29,25456.52,4325.55,10400.22
186,2025-09-27 00:00:00,9220,7173,Ultrabook,North,Website,4,339354.33,210052.05,20581.34,108720.93
187,2025-01-25 00:00:00,18251,1778,Studio Headphones,West,Retail,1,5481.73,4508.57,450.96,522.2
188,2025-04-30 00:00:00,16581,1300,Business Laptop 15,East,Marketplace,2,117044.46,96239.81,8180.39,12624.25
189,2026-03-18 00:00:00,1923,8327,Webcam Pro,Central,Website,1,7150.26,5755.5,425.37,969.39
190,2026-04-01 00:00:00,5188,5807,Smart Monitor 27,North,Retail,2,34165.79,22760.1,4304.08,7101.61
191,2025-10-28 00:00:00,21486,7333,Fast Charger,West,Marketplace,1,1307.87,1098.36,160.12,49.39
192,2026-04-06 00:00:00,17176,3138,Fitness Band,North,Retail,1,3199.92,2021.64,199.72,978.56
193,2026-03-25 00:00:00,16527,3632,Smartwatch,West,Retail,1,8980.03,6354.36,681.32,1944.35
194,2026-01-10 00:00:00,13600,2793,Business Laptop 14,South,B2B,2,111645.29,75617.96,7756.29,28271.04
195,2025-05-07 00:00:00,3412,1056,UPS 2KVA,South,Retail,1,13608.61,10885.47,1025.14,1698.0
196,2025-09-14 00:00:00,16535,1243,Mechanical Keyboard,North,Website,2,7350.8,5764.85,840.34,745.61
197,2026-05-12 00:00:00,13942,7136,4K Monitor,West,B2B,3,101600.7,71910.45,6266.69,23423.55
198,2025-07-08 00:00:00,22873,8776,USB-C Hub,Central,Website,1,1827.7,1359.18,167.11,301.41
199,2026-02-06 00:00:00,838,9372,4K Monitor,South,Retail,4,126085.57,102588.76,6986.61,16510.21
200,2026-05-19 00:00:00,16684,4820,UPS 2KVA,Central,Marketplace,3,46250.52,28654.14,3784.32,13812.06
201,2025-11-21 00:00:00,16658,910,Business Laptop 14,North,Website,1,62902.56,51777.79,3678.74,7446.03
202,2025-11-05 00:00:00,11169,6262,Smart Lock,Central,B2B,2,16781.97,13967.93,1328.52,1485.51
203,2025-04-25 00:00:00,660,7524,Mini PC,South,B2B,2,68471.01,43629.4,6137.26,18704.34
204,2025-10-29 00:00:00,24670,3019,Fast Charger,West,B2B,2,2583.56,2067.77,246.84,268.96
205,2025-01-26 00:00:00,3820,8787,Gaming Laptop,South,Retail,2,183806.29,116244.97,15679.45,51881.88
206,2025-03-10 00:00:00,22592,3868,Action Camera,Central,Marketplace,1,13007.14,9013.72,1425.98,2567.44
207,2025-11-26 00:00:00,1001,9785,External HDD,Central,Marketplace,2,10911.03,7735.19,1294.31,1881.53
208,2025-05-13 00:00:00,17374,1318,UPS 2KVA,Central,B2B,2,27875.82,20969.73,3537.53,3368.56
209,2025-07-31 00:00:00,16328,4200,Action Camera,North,Retail,3,36958.17,26167.0,3790.72,7000.44
210,2025-08-08 00:00:00,10089,6861,NAS 2-Bay,West,Website,1,28310.77,18785.93,1991.67,7533.16
211,2025-10-15 00:00:00,11087,6084,Action Camera,North,Retail,1,14530.33,10087.61,1730.03,2712.68
212,2026-03-01 00:00:00,158,9171,SSD 1TB,South,Website,2,15922.28,12543.52,927.06,2451.71
213,2025-09-29 00:00:00,18579,4198,NAS 2-Bay,East,Marketplace,1,28417.74,17752.99,2247.02,8417.73
214,2026-05-29 00:00:00,12186,6588,Ultrabook,West,Retail,4,374658.6,269741.22,21885.71,83031.67
215,2025-10-21 00:00:00,21798,5437,SSD 2TB,Central,Website,2,24152.14,18602.29,2600.66,2949.19
216,2026-08-27 00:00:00,14947,8970,Action Camera,East,B2B,1,14886.42,8984.01,958.97,4943.43
217,2026-08-31 00:00:00,10442,2111,Mechanical Keyboard,North,Marketplace,3,11100.71,8054.68,1367.83,1678.2
218,2025-09-17 00:00:00,19532,122,Mechanical Keyboard,North,B2B,4,14072.8,8843.42,973.76,4255.63
219,2026-04-11 00:00:00,7637,2127,Ultrabook,Central,Marketplace,1,79294.45,50772.72,9015.89,19505.84
220,2025-10-03 00:00:00,13401,6023,Smart Lock,West,Marketplace,4,33180.69,21432.36,2435.29,9313.04
221,2026-06-17 00:00:00,15597,5182,Wireless Headset,West,Marketplace,1,3129.91,2569.87,217.68,342.35
222,2026-04-11 00:00:00,11761,998,Gaming Laptop,East,Marketplace,1,110905.63,75540.63,7155.6,28209.4
223,2025-07-25 00:00:00,18544,7185,SSD 1TB,West,B2B,1,7399.96,5940.09,463.12,996.75
224,2025-07-15 00:00:00,17022,684,Webcam HD,West,Website,1,2817.74,2355.04,326.6,136.1
225,2026-06-20 00:00:00,16677,9254,SSD 1TB,South,B2B,1,7095.09,4941.93,889.21,1263.95
226,2025-11-25 00:00:00,960,9505,Smart Monitor 27,North,Website,3,54630.82,44826.15,4038.25,5766.42
227,2026-02-27 00:00:00,2704,9237,WiFi Router,Central,Website,4,16205.45,12953.25,1951.35,1300.86
228,2026-02-16 00:00:00,24807,9290,Smartphone Pro,Central,Website,4,176257.61,127666.34,14211.6,34379.67
229,2025-04-11 00:00:00,5378,1333,Tablet Pro,Central,Retail,2,70158.56,56365.29,8889.78,4903.49
230,2025-05-24 00:00:00,8788,8222,Bluetooth Speaker,East,B2B,1,3973.03,2892.4,375.74,704.88
231,2026-07-02 00:00:00,9721,6170,Gaming Laptop,North,Website,4,456220.57,288175.55,35805.5,132239.52
232,2025-06-19 00:00:00,21954,5019,Business Router,Central,Website,4,66050.49,55381.56,4851.0,5817.93
233,2026-06-13 00:00:00,5678,6586,Nexora Mouse,South,Website,1,779.77,516.6,47.52,215.65
234,2025-08-05 00:00:00,4350,5553,External HDD,North,Marketplace,1,5601.76,4449.41,425.48,726.87
235,2026-05-30 00:00:00,11851,7384,Mini PC,South,B2B,3,132711.17,80211.24,8331.28,44168.64
236,2025-12-18 00:00:00,18101,6873,SSD 1TB,South,Marketplace,1,7586.41,4746.3,781.53,2058.57
237,2025-03-02 00:00:00,21453,2999,Power Bank,West,Marketplace,2,3034.17,2150.18,277.14,606.84
238,2025-06-14 00:00:00,5674,8167,Ultrabook,East,Website,4,304241.27,233074.71,25343.99,45822.57
239,2026-08-03 00:00:00,6247,3128,Smart Monitor 27,North,B2B,1,18413.13,13184.11,1710.97,3518.05
240,2025-05-07 00:00:00,8438,6874,Fitness Band,East,B2B,1,3152.42,2381.89,267.73,502.8
241,2025-05-19 00:00:00,20604,3466,Wireless Headset,Central,B2B,1,3179.72,2307.35,202.0,670.37
242,2025-04-01 00:00:00,3360,602,Smartphone Pro,North,B2B,3,126466.11,87532.99,8380.72,30552.4
243,2026-01-06 00:00:00,258,7538,Mechanical Keyboard,South,B2B,1,3423.76,2749.85,418.86,255.06
244,2026-05-08 00:00:00,24992,1893,Fitness Band,East,Marketplace,1,3408.69,2075.22,401.16,932.3
245,2026-07-24 00:00:00,13703,2026,Fitness Band,East,Marketplace,1,3399.53,2665.86,426.02,307.65
246,2026-06-23 00:00:00,8947,6810,Mechanical Keyboard,West,Website,1,3823.02,3006.1,444.16,372.76
