customer_id,name,segment,region,last_purchase,orders_count,lifetime_value,risk_score
71,Customer 00071,Consumer,North,2026-09-28,6,83495.29999999999,37.6
72,Customer 00072,SMB,North,2026-09-04,8,23006.85,49.7
73,Customer 00073,Consumer,North,2026-09-05,3,9195.39,78.5
74,Customer 00074,Consumer,South,2026-03-23,6,1651.99,81.3
75,Customer 00075,SMB,North,2026-09-29,5,73216.98000000001,76.8
76,Customer 00076,Consumer,Central,2026-07-19,3,11573.54,75.0
77,Customer 00077,Consumer,North,2026-04-12,5,6688.87,63.1
78,Customer 00078,Consumer,South,2026-05-30,5,11878.41,96.9
79,Customer 00079,Consumer,South,2026-09-16,7,24454.91,68.3
80,Customer 00080,Consumer,East,2026-08-16,7,5293.13,47.6
81,Customer 00081,SMB,South,2026-03-22,7,8762.58,21.1
82,Customer 00082,Consumer,East,2026-09-26,8,7884.969999999999,38.8
83,Customer 00083,Consumer,East,2026-09-15,9,16125.69,57.2
84,Customer 00084,Consumer,North,2026-09-22,8,17826.7,61.8
85,Customer 00085,Consumer,South,2026-03-25,4,6306.94,62.4
86,Customer 00086,Consumer,North,2026-05-05,6,11280.62,43.5
87,Customer 00087,Consumer,West,2026-04-02,6,13786.88,57.1
88,Customer 00088,Consumer,North,2026-09-21,8,52378.52,37.6
89,Customer 00089,Consumer,North,2026-04-06,5,23265.26,61.5
90,Customer 00090,Consumer,Central,2026-09-10,7,36252.32,50.7
91,Customer 00091,SMB,West,2026-09-23,6,30373.629999999997,71.3
92,Customer 00092,SMB,Central,2026-07-18,10,72816.43,40.1
93,Customer 00093,Consumer,North,2026-09-19,7,9552.41,44.6
94,Customer 00094,Enterprise,East,2026-09-23,7,203938.25,68.1
95,Customer 00095,Consumer,Central,2026-03-11,4,11294.83,65.4
96,Customer 00096,Consumer,Central,2026-09-04,5,11763.23,67.2
97,Customer 00097,Consumer,West,2026-08-20,8,13734.86,26.5
98,Customer 00098,Consumer,West,2026-08-13,3,14214.6,79.4
99,Customer 00099,Enterprise,West,2026-08-06,5,5523.22,64.5
100,Customer 00100,SMB,Central,2026-03-15,6,15136.21,82.8
101,Customer 00101,Consumer,Central,2026-06-30,8,7099.67,58.5
102,Customer 00102,Consumer,South,2026-09-23,9,38638.53,63.5
103,Customer 00103,Consumer,Central,2026-05-06,3,20243.24,80.4
104,Customer 00104,Consumer,East,2026-06-16,2,10497.11,91.1
105,Customer 00105,Consumer,Central,2026-05-07,6,26865.21,60.5
106,Customer 00106,Consumer,East,2026-04-30,8,10668.74,28.9
107,Customer 00107,SMB,North,2026-03-13,4,10690.21,78.0
108,Customer 00108,Consumer,North,2026-06-30,6,25390.29,89.5
109,Customer 00109,Consumer,North,2026-06-12,9,9945.31,38.6
110,Customer 00110,Consumer,North,2026-03-12,6,14507.44,53.1
111,Customer 00111,SMB,East,2026-03-19,3,7073.87,60.4
112,Customer 00112,Consumer,South,2026-09-16,10,16235.640000000001,34.5
113,Customer 00113,Enterprise,Central,2026-04-01,8,11142.43,33.7
114,Customer 00114,SMB,North,2026-07-31,5,9450.13,48.2
115,Customer 00115,Consumer,East,2026-05-12,6,17881.91,49.5
116,Customer 00116,Consumer,Central,2026-09-14,9,23783.260000000002,59.4
117,Customer 00117,Consumer,South,2026-04-07,4,10122.86,54.4
118,Customer 00118,SMB,Central,2026-06-03,4,3979.45,50.9
119,Customer 00119,Consumer,Central,2026-05-09,3,9045.42,60.9
120,Customer 00120,Consumer,South,2026-08-06,7,32631.99,30.6
121,Customer 00121,Consumer,West,2026-04-12,9,8109.44,23.6
122,Customer 00122,Consumer,East,2026-07-25,5,1241.72,89.4
123,Customer 00123,Consumer,East,2026-08-12,3,77814.9,70.2
124,Customer 00124,Consumer,North,2026-07-21,7,31152.77,51.4
125,Customer 00125,Consumer,South,2026-08-02,8,12227.15,30.6
126,Customer 00126,Consumer,East,2026-09-18,4,14814.43,67.6
127,Customer 00127,Consumer,East,2026-06-14,7,9341.89,54.3
128,Customer 00128,Consumer,Central,2026-06-27,5,11387.67,88.2
129,Customer 00129,Consumer,West,2026-05-23,7,21684.67,50.9
130,Customer 00130,Consumer,North,2026-04-19,10,10123.8,30.6
131,Customer 00131,Consumer,North,2026-03-15,5,10172.77,64.4
132,Customer 00132,Consumer,West,2026-03-19,7,32535.77,58.5
133,Customer 00133,Consumer,East,2026-05-12,6,6379.03,59.9
134,Customer 00134,SMB,South,2026-07-06,6,7709.06,54.6
135,Customer 00135,Consumer,East,2026-04-19,9,6951.4,34.8
136,Customer 00136,Consumer,North,2026-07-19,5,6385.95,61.8
137,Customer 00137,SMB,West,2026-06-24,9,13328.88,37.2
138,Customer 00138,SMB,South,2026-04-19,2,6633.1,80.5
139,Customer 00139,Consumer,North,2026-03-31,9,8032.71,19.2
140,Customer 00140,SMB,East,2026-09-24,8,175428.86000000002,63.4
141,Customer 00141,Consumer,East,2026-09-27,2,12759.779999999999,100.0
142,Customer 00142,Consumer,North,2026-06-26,10,6157.2,29.5
143,Customer 00143,Enterprise,West,2026-08-21,2,28110.97,100.0
144,Customer 00144,Consumer,Central,2026-06-15,8,6257.18,26.0
145,Customer 00145,Enterprise,North,2026-04-27,10,7159.55,18.5
146,Customer 00146,SMB,South,2026-09-03,8,106457.39000000001,67.5
147,Customer 00147,Consumer,West,2026-09-09,8,31102.86,53.7
148,Customer 00148,Consumer,South,2026-07-14,6,3502.73,66.1
149,Customer 00149,Consumer,Central,2026-09-11,12,253819.63,31.7
150,Customer 00150,Consumer,West,2026-09-13,6,39323.380000000005,61.2
151,Customer 00151,Consumer,South,2026-08-25,8,6188.91,54.0
152,Customer 00152,Consumer,North,2026-04-28,7,9498.36,53.4
153,Customer 00153,SMB,West,2026-06-08,9,50650.87,0.4
154,Customer 00154,SMB,East,2026-09-18,7,162680.96,52.4
155,Customer 00155,Consumer,Central,2026-08-16,8,19118.58,44.9
156,Customer 00156,SMB,North,2026-09-03,4,68690.38,91.0
157,Customer 00157,Consumer,West,2026-09-06,8,33861.29,51.9
158,Customer 00158,Consumer,East,2026-09-30,8,74384.44,46.8
159,Customer 00159,Consumer,Central,2026-04-14,4,16601.98,56.2
160,Customer 00160,Enterprise,South,2026-08-10,6,10223.58,58.9
161,Customer 00161,Consumer,West,2026-06-24,9,3025.25,38.4
162,Customer 00162,SMB,South,2026-06-23,5,3907.89,61.1
163,Customer 00163,SMB,Central,2026-09-16,4,27441.54,94.2
164,Customer 00164,Consumer,South,2026-07-28,5,14225.27,67.7
165,Customer 00165,SMB,Central,2026-04-04,6,4487.79,80.1
166,Customer 00166,Consumer,East,2026-06-28,6,9718.44,37.4
167,Customer 00167,SMB,Central,2026-09-26,7,17240.530000000002,85.7
168,Customer 00168,Consumer,East,2026-04-06,4,16123.38,87.8
169,Customer 00169,SMB,East,2026-09-25,6,34691.06,77.6
170,Customer 00170,Consumer,North,2026-08-20,11,38441.67,17.1
171,Customer 00171,Consumer,North,2026-08-30,3,15152.08,89.7
172,Customer 00172,Consumer,West,2026-09-24,6,224896.73,49.9
173,Customer 00173,Consumer,West,2026-03-27,8,4287.1,65.5
174,Customer 00174,Consumer,East,2026-09-22,11,42974.36,28.8
175,Customer 00175,SMB,Central,2026-07-01,6,4313.0,81.2
176,Customer 00176,SMB,West,2026-03-16,5,8224.82,61.2
177,Customer 00177,Consumer,South,2026-07-22,8,26225.52,32.0
178,Customer 00178,Consumer,West,2026-09-13,6,19078.920000000002,67.1
179,Customer 00179,Consumer,Central,2026-07-17,9,11678.35,31.5
180,Customer 00180,Enterprise,East,2026-03-19,7,4065.05,31.7
181,Customer 00181,SMB,Central,2026-06-10,7,11822.66,64.0
182,Customer 00182,Consumer,East,2026-09-26,6,43531.95,66.5
183,Customer 00183,Consumer,Central,2026-08-18,7,8538.91,47.1
184,Customer 00184,Consumer,South,2026-09-15,6,41255.62,50.6
185,Customer 00185,Consumer,South,2026-04-22,5,11910.1,61.8
186,Customer 00186,Enterprise,West,2026-03-27,11,3972.85,20.4
187,Customer 00187,Consumer,North,2026-06-21,6,8853.64,68.9
188,Customer 00188,Consumer,North,2026-03-28,7,13558.66,34.3
189,Customer 00189,SMB,North,2026-09-23,9,29291.94,57.4
190,Customer 00190,Consumer,North,2026-06-16,7,20814.69,59.0
191,Customer 00191,Consumer,Central,2026-09-18,8,15784.119999999999,42.4
192,Customer 00192,SMB,West,2026-06-22,7,11073.75,34.2
193,Customer 00193,Enterprise,South,2026-08-28,2,6413.84,92.3
194,Customer 00194,SMB,North,2026-05-10,6,9360.34,53.2
195,Customer 00195,Consumer,South,2026-05-05,8,12709.7,14.0
196,Customer 00196,Consumer,South,2026-05-11,9,12612.5,36.9
197,Customer 00197,Consumer,East,2026-05-23,8,3316.0,31.1
198,Customer 00198,Consumer,East,2026-03-21,6,35204.09,66.1
199,Customer 00199,Consumer,Central,2026-08-09,3,83565.14,82.8
200,Customer 00200,SMB,North,2026-09-25,7,44935.78,59.6
201,Customer 00201,Consumer,South,2026-09-23,6,5921.85,39.6
202,Customer 00202,Enterprise,East,2026-05-14,2,4985.48,75.6
203,Customer 00203,Enterprise,Central,2026-04-11,9,2400.15,15.7
204,Customer 00204,Consumer,West,2026-09-08,7,90128.32999999999,62.4
205,Customer 00205,Consumer,South,2026-09-29,3,13312.24,91.2
206,Customer 00206,SMB,East,2026-03-16,6,6445.79,63.3
207,Customer 00207,Consumer,South,2026-08-27,6,4376.21,88.2
208,Customer 00208,Consumer,South,2026-08-24,4,2302.17,60.6
209,Customer 00209,Consumer,East,2026-07-01,3,14669.14,74.8
210,Customer 00210,SMB,North,2026-05-22,10,25483.97,34.7
211,Customer 00211,Consumer,West,2026-05-15,8,6908.66,22.8
212,Customer 00212,Consumer,Central,2026-05-02,11,11587.35,30.6
213,Customer 00213,SMB,South,2026-09-02,7,14970.45,56.2
214,Customer 00214,SMB,East,2026-09-05,9,80060.23,45.5
215,Customer 00215,Consumer,North,2026-07-14,7,2686.45,27.9
216,Customer 00216,Consumer,North,2026-09-28,7,110243.57999999999,62.6
217,Customer 00217,Consumer,North,2026-07-19,5,28576.65,61.6
218,Customer 00218,SMB,North,2026-06-01,4,9105.71,97.9
219,Customer 00219,SMB,North,2026-04-25,9,21007.33,48.7
220,Customer 00220,Consumer,South,2026-09-02,4,25474.219999999998,84.4
221,Customer 00221,Consumer,South,2026-08-31,5,12591.44,89.2
222,Customer 00222,SMB,East,2026-07-23,5,11050.76,50.6
223,Customer 00223,Consumer,South,2026-03-06,7,10909.15,47.1
224,Customer 00224,Consumer,Central,2026-04-28,5,2589.17,53.2
225,Customer 00225,Consumer,South,2026-09-07,6,44031.79000000001,68.5
226,Customer 00226,SMB,Central,2026-09-30,7,236212.04,78.6
227,Customer 00227,Consumer,Central,2026-07-23,9,5863.08,42.1
228,Customer 00228,Consumer,East,2026-06-16,8,2300.33,46.6
229,Customer 00229,SMB,East,2026-04-11,5,7331.97,82.4
230,Customer 00230,Consumer,East,2026-04-11,6,3405.52,68.6
231,Customer 00231,Consumer,West,2026-09-03,7,11055.24,76.9
232,Customer 00232,Consumer,West,2026-05-11,3,7299.46,78.2
233,Customer 00233,Consumer,West,2026-08-16,10,21082.74,33.0
234,Customer 00234,Enterprise,East,2026-05-05,7,34554.9,44.0
235,Customer 00235,Consumer,North,2026-05-26,5,2830.78,55.8
236,Customer 00236,Consumer,East,2026-06-02,8,7520.14,50.8
237,Customer 00237,Consumer,West,2026-08-09,4,7951.07,67.3
238,Customer 00238,Consumer,South,2026-09-19,7,55487.52,50.5
239,Customer 00239,SMB,North,2026-09-21,6,217572.68000000002,61.8
240,Customer 00240,SMB,East,2026-07-15,4,3312.83,95.1
241,Customer 00241,Consumer,North,2026-05-02,5,15782.79,73.6
242,Customer 00242,Consumer,North,2026-05-15,8,17374.24,41.3
243,Customer 00243,SMB,South,2026-05-29,4,3229.05,91.7
244,Customer 00244,SMB,Central,2026-09-23,10,25266.09,23.4
245,Customer 00245,SMB,South,2026-07-08,7,10101.79,58.9
246,Customer 00246,SMB,East,2026-08-02,5,22975.58,59.9
247,Customer 00247,SMB,North,2026-07-11,4,8998.14,82.5
248,Customer 00248,Consumer,West,2026-09-22,3,23084.199999999997,100.0
249,Customer 00249,SMB,North,2026-03-17,9,26682.64,52.8
250,Customer 00250,Enterprise,West,2026-09-27,7,163911.51,72.2
251,Customer 00251,Enterprise,East,2026-08-26,3,2768.93,92.9
252,Customer 00252,Consumer,East,2026-09-19,10,42836.39,30.1
253,Customer 00253,Consumer,Central,2026-09-26,7,49895.06999999999,65.7
254,Customer 00254,Consumer,East,2026-05-09,10,9862.94,39.2
255,Customer 00255,Consumer,Central,2026-07-05,6,11532.57,49.7
256,Customer 00256,Consumer,West,2026-06-01,5,13100.95,80.4
257,Customer 00257,Consumer,North,2026-05-17,9,20281.75,35.5
258,Customer 00258,Consumer,East,2026-05-31,7,15913.7,58.2
259,Customer 00259,Consumer,North,2026-08-07,7,20496.08,40.9
260,Customer 00260,Consumer,East,2026-09-29,9,35738.03,57.5
261,Customer 00261,Consumer,East,2026-06-02,8,3532.91,49.3
262,Customer 00262,Enterprise,East,2026-07-31,5,2440.19,55.4
263,Customer 00263,Consumer,North,2026-04-12,4,6360.23,51.0
264,Customer 00264,Consumer,West,2026-05-12,5,13864.02,72.0
265,Customer 00265,Consumer,West,2026-05-30,6,16085.26,53.6
266,Customer 00266,Consumer,West,2026-04-13,4,5518.18,69.1
267,Customer 00267,Consumer,North,2026-05-30,9,15991.79,11.9
268,Customer 00268,Consumer,North,2026-03-21,4,17173.04,74.5
269,Customer 00269,SMB,South,2026-09-09,9,61353.659999999996,45.1
270,Customer 00270,SMB,Central,2026-09-03,8,37778.76,41.2
271,Customer 00271,Consumer,East,2026-07-20,3,6995.3,88.1
272,Customer 00272,Consumer,Central,2026-09-12,6,42911.29,62.8
273,Customer 00273,SMB,South,2026-03-13,9,5287.27,37.6
274,Customer 00274,Enterprise,West,2026-07-14,5,25011.31,62.5
275,Customer 00275,Consumer,North,2026-06-03,8,12146.23,62.1
276,Customer 00276,Consumer,North,2026-04-25,11,30693.95,3.5
277,Customer 00277,Consumer,North,2026-08-02,6,5357.74,44.6
278,Customer 00278,Consumer,Central,2026-07-21,5,11861.2,75.5
279,Customer 00279,Consumer,Central,2026-08-17,7,2599.44,27.0
280,Customer 00280,Consumer,North,2026-07-31,3,10178.06,88.8
281,Customer 00281,Consumer,West,2026-06-21,6,9908.32,39.5
282,Customer 00282,Consumer,South,2026-04-18,8,10673.07,34.8
283,Customer 00283,Consumer,North,2026-08-11,2,5481.24,94.6
284,Customer 00284,Consumer,North,2026-09-08,12,33454.51,29.0
285,Customer 00285,Consumer,Central,2026-07-02,8,10797.61,57.6
286,Customer 00286,Consumer,Central,2026-03-16,2,5154.94,73.8
287,Customer 00287,Consumer,East,2026-05-03,5,6289.83,63.7
288,Customer 00288,SMB,West,2026-09-24,6,5364.34,77.7
289,Customer 00289,Consumer,West,2026-08-22,4,15250.3,79.9
290,Customer 00290,Consumer,Central,2026-09-18,13,265120.51,33.0
291,Customer 00291,Consumer,South,2026-03-23,6,70598.26,66.1
292,Customer 00292,Consumer,South,2026-05-10,10,7510.98,24.3
293,Customer 00293,Consumer,South,2026-07-22,7,11748.3,60.2
294,Customer 00294,Consumer,Central,2026-09-11,12,171658.83000000002,10.7
295,Customer 00295,Enterprise,West,2026-04-18,10,1983.94,26.0
296,Customer 00296,Consumer,South,2026-09-25,4,20022.93,81.1
297,Customer 00297,Enterprise,South,2026-05-14,10,7062.26,20.9
298,Customer 00298,SMB,Central,2026-07-18,7,11651.59,14.6
299,Customer 00299,Enterprise,North,2026-05-07,5,34009.93,69.6
300,Customer 00300,Consumer,South,2026-05-21,4,9407.81,74.0
301,Customer 00301,SMB,South,2026-06-05,4,5268.07,83.6
302,Customer 00302,Consumer,North,2026-03-31,6,15725.09,58.5
303,Customer 00303,Consumer,West,2026-09-11,7,212908.29,48.6
304,Customer 00304,Consumer,Central,2026-09-27,4,344284.13999999996,60.7
305,Customer 00305,Consumer,North,2026-09-25,7,70316.79,51.3
306,Customer 00306,Consumer,South,2026-04-08,5,3073.44,58.6
307,Customer 00307,Consumer,Central,2026-08-05,7,2383.58,48.0
308,Customer 00308,Consumer,North,2026-05-20,7,15659.59,58.4
309,Customer 00309,Consumer,South,2026-09-29,8,30939.4,36.6
310,Customer 00310,Enterprise,South,2026-08-21,7,2481.74,51.7
311,Customer 00311,Consumer,East,2026-05-23,10,7018.37,38.9
312,Customer 00312,Consumer,North,2026-08-11,2,2581.96,86.9
313,Customer 00313,Consumer,North,2026-09-03,6,232326.06,75.2
314,Customer 00314,Consumer,West,2026-03-30,7,23792.06,54.5
315,Customer 00315,Consumer,West,2026-09-11,4,9174.470000000001,91.2
316,Customer 00316,Consumer,East,2026-04-11,3,10866.5,71.2
317,Customer 00317,Enterprise,West,2026-03-10,5,28723.27,50.1
318,Customer 00318,Consumer,East,2026-08-25,5,6881.64,60.7
319,Customer 00319,Consumer,South,2026-06-21,6,25168.98,52.8
320,Customer 00320,SMB,North,2026-06-29,2,7485.26,83.2
321,Customer 00321,Consumer,North,2026-08-23,5,16559.12,75.3
322,Customer 00322,Consumer,South,2026-05-17,6,6725.83,44.9
323,Customer 00323,Consumer,West,2026-09-26,6,15604.61,74.6
324,Customer 00324,Consumer,West,2026-07-28,6,7426.92,55.9
325,Customer 00325,Consumer,South,2026-03-08,6,15667.15,70.8
326,Customer 00326,SMB,North,2026-06-21,5,8687.61,81.6
327,Customer 00327,Consumer,East,2026-06-06,4,11954.17,79.1
328,Customer 00328,Consumer,East,2026-09-06,4,84423.72,80.5
329,Customer 00329,SMB,South,2026-07-30,5,2608.38,72.1
330,Customer 00330,Consumer,South,2026-04-11,6,33178.44,45.8
331,Customer 00331,Consumer,North,2026-07-29,8,11453.73,52.7
332,Customer 00332,Consumer,Central,2026-06-03,8,19215.94,42.2
333,Customer 00333,Consumer,Central,2026-09-19,7,107890.04,51.9
334,Customer 00334,Consumer,East,2026-09-27,13,28726.179999999997,28.4
335,Customer 00335,Consumer,South,2026-04-03,6,20095.44,44.5
336,Customer 00336,Consumer,West,2026-07-05,9,12890.25,49.7
337,Customer 00337,SMB,East,2026-03-31,4,39338.97,68.3
338,Customer 00338,Consumer,North,2026-05-25,5,14788.52,61.9
339,Customer 00339,Consumer,South,2026-03-22,6,12112.05,50.8
340,Customer 00340,SMB,East,2026-04-26,9,17335.59,22.5
341,Customer 00341,Consumer,Central,2026-07-23,7,5002.27,50.8
342,Customer 00342,Consumer,South,2026-04-04,5,16605.27,56.4
343,Customer 00343,SMB,North,2026-07-06,7,14595.83,32.6
344,Customer 00344,Consumer,West,2026-04-22,4,5067.13,67.2
345,Customer 00345,Consumer,South,2026-06-20,8,9072.71,49.8
346,Customer 00346,Consumer,East,2026-07-09,5,14052.08,92.0
347,Customer 00347,Consumer,Central,2026-07-02,5,13272.52,42.6
348,Customer 00348,Consumer,West,2026-08-27,3,22417.15,88.8
349,Customer 00349,Consumer,North,2026-09-05,5,44035.54,84.5
350,Customer 00350,Consumer,South,2026-08-22,4,23014.65,73.2
351,Customer 00351,Consumer,South,2026-07-14,5,3775.88,60.5
352,Customer 00352,Consumer,South,2026-05-05,3,15774.78,68.5
353,Customer 00353,Consumer,North,2026-06-27,2,9330.99,100.0
354,Customer 00354,SMB,Central,2026-08-20,4,12087.25,45.8
355,Customer 00355,SMB,West,2026-05-20,10,6765.7,27.9
356,Customer 00356,SMB,South,2026-07-28,4,19733.33,77.4
357,Customer 00357,Enterprise,South,2026-04-22,4,9193.44,62.9
358,Customer 00358,Consumer,Central,2026-05-20,5,10966.35,47.4
359,Customer 00359,Consumer,South,2026-05-08,5,19775.72,51.2
360,Customer 00360,Consumer,South,2026-06-23,3,6626.18,79.2
361,Customer 00361,Consumer,Central,2026-03-28,5,4356.57,57.4
362,Customer 00362,Consumer,East,2026-09-22,12,17439.03,42.9
363,Customer 00363,Consumer,West,2026-05-06,4,6712.68,78.5
364,Customer 00364,Enterprise,North,2026-04-18,5,28200.42,46.9
365,Customer 00365,Enterprise,East,2026-08-16,10,7533.43,28.4
366,Customer 00366,Consumer,West,2026-04-16,4,8606.99,79.2
367,Customer 00367,Consumer,Central,2026-07-09,8,4010.73,38.5
368,Customer 00368,Consumer,West,2026-04-18,7,6420.48,53.4
369,Customer 00369,Consumer,West,2026-05-08,7,28206.83,53.4
370,Customer 00370,SMB,East,2026-06-27,3,3700.35,77.2
371,Customer 00371,Consumer,South,2026-05-31,4,23519.78,64.0
372,Customer 00372,Consumer,West,2026-03-11,4,8364.93,63.0
373,Customer 00373,Consumer,East,2026-09-25,7,39491.68,59.6
374,Customer 00374,Enterprise,North,2026-08-02,10,8909.71,34.3
375,Customer 00375,SMB,North,2026-04-30,6,10553.2,66.1
376,Customer 00376,Consumer,South,2026-08-07,8,8649.62,47.3
377,Customer 00377,SMB,East,2026-06-06,7,3147.51,48.5
378,Customer 00378,Enterprise,West,2026-09-03,8,22997.160000000003,30.4
379,Customer 00379,Enterprise,Central,2026-08-05,3,11795.63,88.4
380,Customer 00380,Consumer,South,2026-04-15,5,11245.43,87.4
381,Customer 00381,SMB,West,2026-04-07,9,10474.02,16.7
382,Customer 00382,Consumer,Central,2026-08-08,10,10799.14,17.2
383,Customer 00383,Consumer,North,2026-04-12,9,7320.16,24.4
384,Customer 00384,Consumer,East,2026-09-22,9,249112.31999999998,52.1
385,Customer 00385,Consumer,North,2026-09-15,5,201567.87000000002,70.6
386,Customer 00386,Consumer,North,2026-09-27,6,22166.78,85.7
387,Customer 00387,SMB,North,2026-04-29,7,25533.39,67.3
388,Customer 00388,Consumer,North,2026-05-17,3,2516.79,75.0
389,Customer 00389,Enterprise,Central,2026-07-24,6,5801.31,71.1
390,Customer 00390,Consumer,South,2026-06-08,1,4100.7,86.1
391,Customer 00391,Consumer,Central,2026-05-27,7,6376.65,53.8
392,Customer 00392,Consumer,North,2026-08-10,7,9356.58,51.1
393,Customer 00393,Enterprise,North,2026-08-13,3,18679.85,74.7
394,Customer 00394,Enterprise,North,2026-07-23,4,12466.42,72.6
395,Customer 00395,SMB,South,2026-04-30,9,11731.83,29.3
396,Customer 00396,Consumer,Central,2026-07-06,6,9956.26,68.4
397,Customer 00397,Consumer,East,2026-06-22,7,2450.18,39.1
398,Customer 00398,Consumer,East,2026-06-14,8,29931.23,62.8
399,Customer 00399,Enterprise,South,2026-05-23,4,19402.67,70.1
400,Customer 00400,SMB,North,2026-09-18,6,20384.36,55.6
401,Customer 00401,Consumer,East,2026-09-29,7,50660.72,83.1
402,Customer 00402,Consumer,South,2026-09-17,8,18529.43,42.6
403,Customer 00403,SMB,Central,2026-06-10,3,4420.59,72.2
404,Customer 00404,Consumer,South,2026-06-13,6,17859.06,49.7
405,Customer 00405,Enterprise,North,2026-05-09,7,5714.43,41.4
406,Customer 00406,Consumer,South,2026-05-25,7,12588.34,47.8
